location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Bermuda,2021-01-10,Pfizer/BioNTech,https://www.gov.bm/articles/covid-19-update-minister-health%E2%80%99s-remarks-19-january-2021,0,,
Bermuda,2021-01-16,Pfizer/BioNTech,https://www.gov.bm/articles/covid-19-update-minister-health%E2%80%99s-remarks-19-january-2021,1665,,
Bermuda,2021-01-23,Pfizer/BioNTech,https://www.gov.bm/articles/covid-19-update-minister-health-remarks-26-january-2021,2932,,
Bermuda,2021-01-30,Pfizer/BioNTech,https://www.gov.bm/articles/minister-health-covid-19-update-remarks-2-february-2021,4897,4897,
Bermuda,2021-02-02,Pfizer/BioNTech,https://www.gov.bm/articles/minister-health-covid-19-update-remarks-2-february-2021,5200,5000,200
