location,date,vaccine,total_vaccinations,source_url,people_vaccinated,people_fully_vaccinated,total_boosters
Benin,2021-05-12,"Oxford/AstraZeneca, Sinovac",10683,https://covid19.who.int/,10683,0,
Benin,2021-05-21,"Oxford/AstraZeneca, Sinovac",12934,https://covid19.who.int/,12516,418,
Benin,2021-06-08,"Oxford/AstraZeneca, Sinovac",26624,https://covid19.who.int/,21834,4790,
Benin,2021-06-28,"Oxford/AstraZeneca, Sinovac",46108,https://covid19.who.int/,36188,9920,
Benin,2021-07-12,"Oxford/AstraZeneca, Sinovac",52563,https://covid19.who.int/,40270,12293,
Benin,2021-07-24,"Oxford/AstraZeneca, Sinovac",57886,https://covid19.who.int/,43377,14509,
Benin,2021-08-03,"Oxford/AstraZeneca, Sinovac",70323,https://covid19.who.int/,48918,21405,
Benin,2021-08-16,"Oxford/AstraZeneca, Sinovac",72999,https://covid19.who.int/,50751,,
Benin,2021-08-25,"Oxford/AstraZeneca, Sinovac",117984,https://africacdc.org/covid-19-vaccination/,,,
Benin,2021-09-20,"Oxford/AstraZeneca, Sinovac",214396,https://covid19.who.int/,60926,153470,
