location,date,vaccine,total_vaccinations,source_url,people_vaccinated,people_fully_vaccinated,total_boosters
Liberia,2021-05-12,Oxford/AstraZeneca,36404,https://covid19.who.int/,36404,0,
Liberia,2021-05-21,Oxford/AstraZeneca,52446,https://covid19.who.int/,52446,0,
Liberia,2021-05-24,Oxford/AstraZeneca,53626,https://covid19.who.int/,53626,0,
Liberia,2021-05-26,Oxford/AstraZeneca,55690,https://covid19.who.int/,55690,0,
Liberia,2021-05-31,Oxford/AstraZeneca,56144,https://covid19.who.int/,56144,0,
Liberia,2021-06-08,Oxford/AstraZeneca,63802,https://covid19.who.int/,63662,140,
Liberia,2021-06-10,Oxford/AstraZeneca,64129,https://covid19.who.int/,63662,467,
Liberia,2021-06-14,Oxford/AstraZeneca,65590,https://covid19.who.int/,65097,493,
Liberia,2021-06-15,Oxford/AstraZeneca,67437,https://covid19.who.int/,66884,553,
Liberia,2021-06-20,Oxford/AstraZeneca,68821,https://covid19.who.int/,68134,687,
Liberia,2021-06-24,Oxford/AstraZeneca,76642,https://covid19.who.int/,74372,2270,
Liberia,2021-06-28,Oxford/AstraZeneca,82212,https://covid19.who.int/,79670,2542,
Liberia,2021-07-05,Oxford/AstraZeneca,92041,https://covid19.who.int/,85137,6904,
Liberia,2021-09-15,Oxford/AstraZeneca,215993,https://covid19.who.int/,86288,129705,
