date,World,Afghanistan,Albania,Algeria,Andorra,Antigua and Barbuda,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Bhutan,Bolivia,Bosnia and Herzegovina,Brazil,Brunei,Bulgaria,Burkina Faso,Cambodia,Cameroon,Canada,Cayman Islands,Chile,China,Colombia,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,Democratic Republic of Congo,Denmark,Dominican Republic,Ecuador,Egypt,Estonia,Ethiopia,Faeroe Islands,Finland,France,French Guiana,French Polynesia,Gabon,Georgia,Germany,Ghana,Gibraltar,Greece,Guadeloupe,Guernsey,Guinea,Guyana,Honduras,Hungary,Iceland,India,Indonesia,International,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kenya,Kuwait,Latvia,Lebanon,Liechtenstein,Lithuania,Luxembourg,Macedonia,Malaysia,Maldives,Malta,Martinique,Mexico,Moldova,Monaco,Mongolia,Morocco,Nepal,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Palestine,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Russia,Saint Barthlemy,Saint Martin (French part),Saint Vincent and the Grenadines,San Marino,Saudi Arabia,Senegal,Serbia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sudan,Sweden,Switzerland,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Ukraine,United Arab Emirates,United Kingdom,United States,Vatican,Venezuela,Vietnam
2020-01-21,282,,,,,,,,,,,,,,,,,,,,,,,,,,,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,
2020-01-22,314,,,,,,,,,,,,,,,,,,,,,,,,,,,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,
2020-01-23,581,,,,,,,,,,,,,,,,,,,,,,,,,,,574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,4,,,,,,,,1,,,
2020-01-24,846,,,,,,,,,,,,,,,,,,,,,,,,,,,835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,4,,,,,,,,1,,,2
2020-01-25,1320,,,,,,,,3,,,,,,,,,,,,,,,,,,,1297,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,,,4,,,,,,,,2,,,2
2020-01-26,2014,,,,,,,,4,,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,2,,,,,,5,,,,,,,,2,,,2
2020-01-27,2798,,,,,,,,4,,,,,,,,,,,,,,,,1,,,2761,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,,,,,,5,,,,,,,,5,,,2
2020-01-28,4593,,,,,,,,5,,,,,,,,,,,,,,1,,2,,,4537,,,,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,4,,1,,,,14,,,,,,,,5,,,2
2020-01-29,6065,,,,,,,,7,,,,,,,,,,,,,,1,,3,,,5997,,,,,,,,,,,,,,,,,4,,,,,4,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,4,,1,,,,14,,,,,,4,,5,,,2
2020-01-30,7818,,,,,,,,7,,,,,,,,,,,,,,1,,3,,,7736,,,,,,,,,,,,,,,,1,5,,,,,4,,,,,,,,,,,1,,,,,,,,,11,,,,,,,,,,,7,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,10,,,,4,,1,,,,14,,,,,,4,,5,,,2
2020-01-31,9826,,,,,,,,9,,,,,,,,,,,,,,1,,3,,,9720,,,,,,,,,,,,,,,,1,6,,,,,5,,,,,,,,,,,1,,,,,,,2,,14,,,,,,,,,,,8,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,13,,,,11,,1,,,,14,,,,,,4,,6,,,5
2020-02-01,11953,,,,,,,,12,,,,,,,,,,,,,,1,,4,,,11821,,,,,,,,,,,,,,,,1,6,,,,,7,,,,,,,,,,,1,,,,,,,2,,17,,,,,,,,,,,8,,,,,,,,,1,,,,,,,,,,,1,,,,,,,2,,,,,,,,16,,,,12,1,1,,1,,19,,,,,,4,2,7,,,6
2020-02-02,14557,,,,,,,,12,,,,,,,,,,,,,,1,,4,,,14411,,,,,,,,,,,,,,,,1,6,,,,,8,,,,,,,,,,,2,,,,,,,2,,20,,,,,,,,,,,8,,,,,,,,,1,,,,,,,,,,,2,,,,,,,2,,,,,,,,18,,,,15,1,1,,1,,19,,,,,,5,2,8,,,7
2020-02-03,17391,,,,,,,,12,,,,,,,,,,,,,,1,,4,,,17238,,,,,,,,,,,,,,,,1,6,,,,,10,,,,,,,,,,,3,,,,,,,2,,20,,,,,,,,,,,8,,,,,,,,,1,,,,,,,,,,,2,,,,,,,2,,,,,,,,18,,,,15,1,1,,1,,19,,,,,,5,2,11,,,8
2020-02-04,20630,,,,,,,,12,,,,,,,,,,,,,,1,,4,,,20471,,,,,,,,,,,,,,,,1,6,,,,,12,,,,,,,,,,,3,,,,,,,2,,20,,,,,,,,,,,10,,,,,,,,,1,,,,,,,,,,,2,,,,,,,2,,,,,,,,18,,,,16,1,1,,1,,19,,,,,,5,2,11,,,9
2020-02-05,24544,,,,,,,,13,,,,,,1,,,,,,,,1,,5,,,24363,,,,,,,,,,,,,,,,1,6,,,,,12,,,,,,,,,,,3,,,,,,,2,,23,,,,,,,,,,,10,,,,,,,,,1,,,,,,,,,,,3,,,,,,,2,,,,,,,,24,,,,18,1,1,,1,,25,,,,,,5,2,11,,,10
2020-02-06,28276,,,,,,,,14,,,,,,1,,,,,,,,1,,5,,,28060,,,,,,,,,,,,,,,,1,6,,,,,12,,,,,,,,,,,3,,20,,,,,2,,25,,,,,,,,,,,12,,,,,,,,,1,,,,,,,,,,,3,,,,,,,2,,,,,,,,28,,,,23,1,1,,1,,25,,,,,,5,2,12,,,10
2020-02-07,31481,,,,,,,,15,,,,,,1,,,,,,,,1,,7,,,31211,,,,,,,,,,,,,,,,1,6,,,,,13,,,,,,,,,,,3,,61,,,,,3,,25,,,,,,,,,,,14,,,,,,,,,1,,,,,,,,,,,3,,,,,,,2,,,,,,,,30,,,,24,1,1,,1,,25,,,,,,5,3,12,,,12
2020-02-08,34886,,,,,,,,15,,,,,,1,,,,,,,,1,,7,,,34598,,,,,,,,,,,,,,,,1,6,,,,,14,,,,,,,,,,,3,,64,,,,,3,,25,,,,,,,,,,,15,,,,,,,,,1,,,,,,,,,,,3,,,,,,,2,,,,,,,,33,,,,24,1,1,,1,,32,,,,,,7,3,12,,,13
2020-02-09,37558,,,,,,,,15,,,,,,1,,,,,,,,1,,7,,,37251,,,,,,,,,,,,,,,,1,11,,,,,14,,,,,,,,,,,3,,64,,,,,3,,26,,,,,,,,,,,17,,,,,,,,,1,,,,,,,,,,,3,,,,,,,2,,,,,,,,40,,,,27,1,1,,1,,32,,,,,,7,3,12,,,14
2020-02-10,40554,,,,,,,,15,,,,,,1,,,,,,,,1,,7,,,40235,,,,,,,,,,,,,,,,1,11,,,,,14,,,,,,,,,,,3,,70,,,,,3,,26,,,,,,,,,,,18,,,,,,,,,1,,,,,,,,,,,3,,,,,,,2,,,,,,,,43,,,,27,2,1,,1,,32,,,,,,7,4,12,,,14
2020-02-11,43103,,,,,,,,15,,,,,,1,,,,,,,,1,,7,,,42708,,,,,,,,,,,,,,,,1,11,,,,,14,,,,,,,,,,,3,,135,,,,,3,,26,,,,,,,,,,,18,,,,,,,,,1,,,,,,,,,,,3,,,,,,,2,,,,,,,,45,,,,28,2,1,,1,,33,,,,,,8,8,13,,,15
