,Western Pacific,Western Pacific,Western Pacific,Western Pacific,Western Pacific,Americas,Americas,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Eastern Mediterranean,Eastern Mediterranean,South-East Asia,International
Date,China,Philippines,Japan,Australia,Republic of Korea,United States of America,Argentina,France,Italy,Spain,Switzerland,Netherlands,The United Kingdom,San Marino,Iran,Iraq,Thailand,International conveyance (Diamond Princess)
21/01/2020,6,,,,,,,,,,,,,,,,,
22/01/2020,6,,,,,,,,,,,,,,,,,
23/01/2020,17,,,,,,,,,,,,,,,,,
24/01/2020,25,,,,,,,,,,,,,,,,,
25/01/2020,41,,,,,,,,,,,,,,,,,
26/01/2020,56,,,,,,,,,,,,,,,,,
27/01/2020,80,,,,,,,,,,,,,,,,,
28/01/2020,106,,,,,,,,,,,,,,,,,
29/01/2020,132,,,,,,,,,,,,,,,,,
30/01/2020,170,,,,,,,,,,,,,,,,,
31/01/2020,213,,,,,,,,,,,,,,,,,
01/02/2020,259,,,,,,,,,,,,,,,,,
02/02/2020,304,1,,,,,,,,,,,,,,,,
03/02/2020,361,1,,,,,,,,,,,,,,,,
04/02/2020,425,1,,,,,,,,,,,,,,,,
05/02/2020,491,1,,,,,,,,,,,,,,,,
06/02/2020,564,1,,,,,,,,,,,,,,,,
07/02/2020,637,1,,,,,,,,,,,,,,,,
08/02/2020,723,1,,,,,,,,,,,,,,,,
09/02/2020,812,1,,,,,,,,,,,,,,,,
10/02/2020,909,1,,,,,,,,,,,,,,,,
11/02/2020,1017,1,,,,,,,,,,,,,,,,
12/02/2020,1114,1,,,,,,,,,,,,,,,,
13/02/2020,1368,1,,,,,,,,,,,,,,,,
14/02/2020,1381,1,1,,,,,,,,,,,,,,,
15/02/2020,1524,1,1,,,,,,,,,,,,,,,
16/02/2020,1666,1,1,,,,,1,,,,,,,,,,
17/02/2020,1772,1,1,,,,,1,,,,,,,,,,
18/02/2020,1870,1,1,,,,,1,,,,,,,,,,
19/02/2020,2006,1,1,,,,,1,,,,,,,,,,
20/02/2020,2121,1,1,,1,,,1,,,,,,,2,,,2
21/02/2020,2239,1,1,,1,,,1,,,,,,,2,,,2
22/02/2020,2348,1,1,,2,,,1,,,,,,,4,,,2
23/02/2020,2445,1,1,,5,,,1,2,,,,,,2,,,5
24/02/2020,2595,1,1,,7,,,1,2,,,,,,8,,,3
25/02/2020,2666,1,1,,10,,,1,6,,,,,,12,,,3
26/02/2020,2718,1,1,,12,,,1,11,,,,,,15,,,3
27/02/2020,2747,1,3,,13,,,2,12,,,,,,22,,,4
28/02/2020,2791,1,4,,13,,,2,17,,,,,,26,,,4
29/02/2020,2838,1,5,,17,,,2,21,,,,,,34,,,6
01/03/2020,2873,1,5,,18,,,2,29,,,,,,43,,,6
02/03/2020,2915,1,6,1,22,,,2,35,,,,,,54,,1,6
03/03/2020,2946,1,6,1,28,2,,3,52,,,,,,66,,1,6
04/03/2020,2984,1,6,1,32,6,,4,80,,,,,,77,,1,6
05/03/2020,3015,1,6,3,35,9,,4,107,1,,,,,92,2,1,6
06/03/2020,3045,1,6,2,42,10,,6,148,3,1,,,,107,2,1,6
07/03/2020,3073,1,6,2,44,11,,9,197,5,1,1,1,,124,4,1,6
08/03/2020,3100,1,6,3,50,11,1,10,234,5,2,1,2,1,145,4,1,7
