Country,Year,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million
United Kingdom,351,,,,,110678,,,,1630
United Kingdom,352,,,,,128749,,,,1897
United Kingdom,353,,,,,146819,,,,2163
United Kingdom,354,,,,,164890,,,,2429
United Kingdom,355,2677971,2286572,391399,,182960,3.94,3.37,0.58,2695
United Kingdom,356,2843815,2431648,412167,165844,180515,4.19,3.58,0.61,2659
United Kingdom,357,3067541,2639309,428232,223726,186339,4.52,3.89,0.63,2745
United Kingdom,358,3356229,2918252,437977,288688,201443,4.94,4.3,0.65,2967
United Kingdom,359,3678180,3234946,443234,321951,221298,5.42,4.77,0.65,3260
United Kingdom,360,4006440,3559179,447261,328260,242056,5.9,5.24,0.66,3566
United Kingdom,361,4286830,3837094,449736,280390,255974,6.31,5.65,0.66,3771
United Kingdom,362,4514802,4062501,452301,227972,262404,6.65,5.98,0.67,3865
United Kingdom,363,4723443,4266577,456866,208641,268518,6.96,6.28,0.67,3955
United Kingdom,364,5070365,4609740,460625,346922,286118,7.47,6.79,0.68,4215
United Kingdom,365,5437284,4973248,464036,366919,297294,8.01,7.33,0.68,4379
United Kingdom,366,5849899,5383103,466796,412615,310246,8.62,7.93,0.69,4570
United Kingdom,367,6329968,5861351,468617,480069,331933,9.32,8.63,0.69,4890
United Kingdom,368,6822981,6353321,469660,493013,362307,10.05,9.36,0.69,5337
United Kingdom,369,7044048,6573570,470478,221067,361321,10.38,9.68,0.69,5322
United Kingdom,370,7325773,6853327,472446,281725,371761,10.79,10.1,0.7,5476
United Kingdom,371,7638543,7164387,474156,312770,366883,11.25,10.55,0.7,5404
United Kingdom,372,7953250,7476765,476485,314707,359424,11.72,11.01,0.7,5295
United Kingdom,373,8369438,7891184,478254,416188,359934,12.33,11.62,0.7,5302
United Kingdom,374,8859372,8378940,480432,489934,361343,13.05,12.34,0.71,5323
United Kingdom,375,9468382,8977329,491053,609010,377914,13.95,13.22,0.72,5567
United Kingdom,376,9790576,9296367,494209,322194,392361,14.42,13.69,0.73,5780
United Kingdom,377,10143511,9646715,496796,352935,402534,14.94,14.21,0.73,5930
United Kingdom,378,10520433,10021471,498962,376922,411699,15.5,14.76,0.73,6065
United Kingdom,379,10992444,10490487,501957,472011,434171,16.19,15.45,0.74,6396
United Kingdom,380,11477040,10971047,505993,484596,443943,16.91,16.16,0.75,6540
United Kingdom,381,11975267,11465210,510057,498227,445128,17.64,16.89,0.75,6557
United States,334,556208,556208,,,,0.17,0.17,,
United States,335,614117,614117,,57909,57909,0.18,0.18,,173
United States,336,,,,,127432,,,,381
United States,337,1008025,1008025,,,150606,0.3,0.3,,450
United States,338,,,,,191001,,,,571
United States,339,,,,,215238,,,,644
United States,340,1944585,1944585,,,231396,0.58,0.58,,692
United States,341,,,,,211379,,,,632
United States,342,2127143,2127143,,,216147,0.64,0.64,,646
United States,343,,,,,235685,,,,705
United States,344,2794588,2794588,,,255223,0.84,0.84,,763
United States,345,,,,,278776,,,,834
United States,346,,,,,302329,,,,904
United States,347,4225756,4225756,,,325882,1.26,1.26,,974
United States,348,,,,,336949,,,,1007
United States,349,4563260,4563260,,,348017,1.36,1.36,,1041
United States,350,4836469,4836469,,273209,339372,1.45,1.45,,1015
United States,351,5306797,5306797,,470328,358887,1.59,1.59,,1073
United States,352,5919418,5919418,,612621,378253,1.77,1.77,,1131
United States,353,6688231,6688231,,768813,419933,2,2,,1256
United States,354,,,,,461263,,,,1379
United States,355,,,,,546636,,,,1634
United States,356,8987322,8987322,,,632009,2.69,2.69,,1890
United States,357,9327138,9327138,,339816,641524,2.79,2.79,,1918
United States,358,10278462,,,951324,710238,3.07,,,2124
United States,359,11148991,9690757,1342086,870529,747082,3.33,2.9,0.4,2234
United States,360,12279180,10595866,1610524,1130189,798707,3.67,3.17,0.48,2388
United States,361,,,,,811670,,,,2427
United States,362,,,,,824632,,,,2466
United States,363,,,,,837595,,,,2504
United States,364,15707588,13595803,2023124,,911493,4.7,4.07,0.6,2725
United States,365,16525281,14270441,2161419,817693,892403,4.94,4.27,0.65,2668
United States,366,17546374,15053257,2394961,1021093,913912,5.25,4.5,0.72,2733
United States,367,19107959,16243093,2756953,1561585,975540,5.71,4.86,0.82,2917
United States,368,20537990,17390345,3027865,1430031,1057387,6.14,5.2,0.91,3162
United States,369,21848655,18502131,3216836,1310665,1122182,6.53,5.53,0.96,3355
United States,370,22734243,19252279,3346390,885588,1126251,6.8,5.76,1,3368
United States,371,23540994,19902237,3481921,806751,1119058,7.04,5.95,1.04,3346
United States,372,24652634,20687970,3801053,1111640,1161050,7.37,6.19,1.14,3472
United States,373,26193682,21698606,4263056,1541048,1235330,7.83,6.49,1.27,3694
United States,374,27884661,22858318,4780888,1690979,1253815,8.34,6.83,1.43,3749
United States,375,29577902,24064165,5259693,1693241,1291416,8.84,7.2,1.57,3861
United States,376,31123299,25201143,5657142,1545397,1324949,9.31,7.54,1.69,3962
United States,377,32222402,26023153,5927847,1099103,1355451,9.63,7.78,1.77,4053
United States,378,32780860,26440836,6064792,558458,1319981,9.8,7.91,1.81,3947
United States,379,33878254,27154956,6436931,1097394,1317946,10.13,8.12,1.92,3941
United States,380,35203710,27905197,6926050,1325456,1287147,10.53,8.34,2.07,3849
United States,381,36819212,28909497,7503864,1615502,1276364,11.01,8.64,2.24,3816
United States,382,39037964,30250964,8317180,2218752,1351437,11.67,9.05,2.49,4041
Wales,327,8181,8181,,,,0.26,0.26,,
Wales,328,,,,,2224,,,,705
Wales,329,,,,,2224,,,,705
Wales,330,,,,,2224,,,,705
Wales,331,,,,,2224,,,,705
Wales,332,,,,,2224,,,,705
Wales,333,,,,,2224,,,,705
Wales,334,23746,23746,,,2224,0.75,0.75,,705
Wales,335,,,,,2159,,,,685
Wales,336,,,,,2095,,,,664
Wales,337,,,,,2031,,,,644
Wales,338,,,,,1967,,,,624
Wales,339,,,,,1902,,,,603
Wales,340,,,,,1838,,,,583
Wales,341,36162,36162,,,1774,1.15,1.15,,563
Wales,342,,,,,1808,,,,573
Wales,343,,,,,1843,,,,585
Wales,344,,,,,1877,,,,595
Wales,345,,,,,1912,,,,606
Wales,346,,,,,1946,,,,617
Wales,347,,,,,1981,,,,628
Wales,348,50268,50242,26,,2015,1.59,1.59,0,639
Wales,349,,,,,2459,,,,780
Wales,350,,,,,2903,,,,921
Wales,351,,,,,3346,,,,1061
Wales,352,,,,,3790,,,,1202
Wales,353,,,,,4234,,,,1343
Wales,354,,,,,4678,,,,1484
Wales,355,86118,86039,79,,5121,2.73,2.73,0,1624
Wales,356,91336,91239,97,5218,5135,2.9,2.89,0,1629
Wales,357,101479,101371,108,10143,5853,3.22,3.22,0,1856
Wales,358,113094,112973,121,11615,6780,3.59,3.58,0,2150
Wales,359,126504,126375,129,13410,7964,4.01,4.01,0,2526
Wales,360,,,,,8444,,,,2678
Wales,361,,,,,8923,,,,2830
Wales,362,151938,151737,201,,9403,4.82,4.81,0.01,2982
Wales,363,162197,161932,265,10259,10123,5.14,5.14,0.01,3211
Wales,364,176186,175816,370,13989,10672,5.59,5.58,0.01,3385
Wales,365,190831,190435,396,14645,11105,6.05,6.04,0.01,3522
Wales,366,212732,212317,415,21901,12318,6.75,6.73,0.01,3907
Wales,367,241016,240547,469,28284,15148,7.64,7.63,0.01,4804
Wales,368,265054,264538,516,24038,17371,8.41,8.39,0.02,5510
Wales,369,271376,270833,543,6322,17063,8.61,8.59,0.02,5412
Wales,370,290147,289566,581,18771,18279,9.2,9.18,0.02,5798
Wales,371,312944,312305,639,22797,19537,9.93,9.91,0.02,6197
Wales,372,336745,336071,674,23801,20845,10.68,10.66,0.02,6611
Wales,373,362970,362253,717,26225,21463,11.51,11.49,0.02,6807
Wales,374,378950,378200,750,15980,19705,12.02,12,0.02,6250
Wales,375,404249,403463,786,25299,19885,12.82,12.8,0.02,6307
Wales,376,417147,416306,841,12898,20824,13.23,13.2,0.03,6605
Wales,377,440706,439640,1066,23559,21508,13.98,13.94,0.03,6822
Wales,378,463657,462497,1160,22951,21530,14.71,14.67,0.04,6829
Wales,379,491786,490570,1216,28129,22149,15.6,15.56,0.04,7025
Wales,380,524677,523042,1635,32891,23101,16.64,16.59,0.05,7327
Wales,381,559468,556997,2471,34791,25788,17.74,17.67,0.08,8179
World,327,86095,86095,,,,0,0,,
World,328,,,,,764250,,,,98
World,329,1614595,1586095,,,764250,0.02,0.02,,98
World,330,,,,,510233,,,,65
World,331,,,,,383224,,,,49
World,332,,,,,307019,,,,39
World,333,1623386,1594886,,,256215,0.02,0.02,,33
World,334,2774029,2745529,,1150643,383991,0.04,0.04,,49
World,335,2856698,2828198,,82669,286622,0.04,0.04,,37
World,336,2924553,2872553,,67855,187137,0.04,0.04,,24
World,337,3419615,3367615,,495062,257546,0.04,0.04,,33
World,338,3506768,3454713,,87153,269682,0.04,0.04,,35
World,339,3550005,3497950,,43237,275545,0.05,0.04,,35
World,340,4547753,4495698,,997748,417767,0.06,0.06,,54
World,341,5034955,4982900,,487202,322989,0.06,0.06,,41
World,342,5400024,5344633,,365069,363332,0.07,0.07,,47
World,343,5649372,5592483,,249348,389260,0.07,0.07,,50
World,344,6619372,6561575,,970000,457108,0.08,0.08,,59
World,345,9905265,9810244,,3285893,914071,0.13,0.13,,117
World,346,10017173,9921572,,111908,923881,0.13,0.13,,119
World,347,12417431,11573830,,2400258,1124240,0.16,0.15,,144
World,348,13062226,12187471,21834,644795,1146753,0.17,0.16,0,147
World,349,13846289,12955780,21836,784063,1206609,0.18,0.17,0,155
World,350,15379585,13655170,21836,1533296,1390030,0.2,0.18,0,178
World,351,16324722,14478861,21836,945137,1386479,0.21,0.19,0,178
World,352,17559417,15579407,21840,1234695,1093450,0.23,0.2,0,140
World,353,18933743,16802214,21845,1374326,1273796,0.24,0.22,0,163
World,354,23759008,21679367,25484,4825265,1620225,0.3,0.28,0,208
World,355,25380551,23633935,651021,1621543,1759761,0.33,0.3,0.01,226
World,356,28451188,26610336,690855,3070637,2086414,0.37,0.34,0.01,268
World,357,29834446,27732074,742250,1383258,2064980,0.38,0.36,0.01,265
World,358,33257988,29800859,810920,3423542,2419038,0.43,0.38,0.01,310
World,359,35773656,31337743,2229179,2515668,2602034,0.46,0.4,0.03,334
World,360,38502504,33370474,2541864,2728848,2795537,0.49,0.43,0.03,359
World,361,39502655,34432807,2593755,1000151,2249092,0.51,0.44,0.03,289
World,362,40402643,35000654,2701782,899988,2146013,0.52,0.45,0.03,275
World,363,41838305,35927185,2866586,1435662,1912445,0.54,0.46,0.04,245
World,364,46868912,39896453,3483591,5030607,2433495,0.6,0.51,0.04,312
World,365,54324224,46818046,3868022,7455312,3009462,0.7,0.6,0.05,386
World,366,57466626,48771681,4401269,3142402,3098996,0.74,0.63,0.06,398
World,367,61270884,51231315,4928029,3804258,3252626,0.79,0.66,0.06,417
World,368,64234488,53693596,5381644,2963604,3533119,0.82,0.69,0.07,453
World,369,66656594,55504728,5817497,2422106,3750564,0.86,0.71,0.07,481
World,370,69325058,57219214,6303037,2668464,3926679,0.89,0.73,0.08,504
World,371,71905773,59010796,6879491,2580715,3576694,0.92,0.76,0.09,459
World,372,82992116,68903610,7580639,11086343,4095413,1.06,0.88,0.1,525
World,373,87183653,71611511,8509471,4191537,4245290,1.12,0.92,0.11,545
World,374,91523353,73989410,9392168,4339700,4321781,1.17,0.95,0.12,554
World,375,95233771,76530406,10205550,3710418,4428469,1.22,0.98,0.13,568
World,376,99390321,79862571,10958026,4156550,4676247,1.28,1.02,0.14,600
World,377,102437454,81511914,11629246,3047133,4730342,1.31,1.05,0.15,607
World,378,104916170,82946999,12223495,2478716,4715771,1.35,1.06,0.16,605
World,379,115716353,92174479,13174615,10800183,4674891,1.48,1.18,0.17,600
World,380,120478644,94924711,14296090,4762291,4756427,1.55,1.22,0.18,610
World,381,124244368,97028825,15276863,3765724,4674431,1.59,1.24,0.2,600
World,382,127994423,99220516,16284843,3750055,4680093,1.64,1.27,0.21,600
