date,vaccine,total_vaccinations,location
2021-02-22,Moderna,100957,Italy
2021-02-22,Oxford/AstraZeneca,137853,Italy
2021-02-22,Pfizer/BioNTech,3432839,Italy
2021-02-23,Moderna,106204,Italy
2021-02-23,Oxford/AstraZeneca,162616,Italy
2021-02-23,Pfizer/BioNTech,3508914,Italy
2021-02-24,Oxford/AstraZeneca,189767,Italy
2021-02-24,Pfizer/BioNTech,3597265,Italy
2021-02-24,Moderna,112355,Italy
2021-02-25,Moderna,118487,Italy
2021-02-25,Oxford/AstraZeneca,221268,Italy
2021-02-25,Pfizer/BioNTech,3687384,Italy
2021-02-26,Moderna,124039,Italy
2021-02-26,Oxford/AstraZeneca,261425,Italy
2021-02-26,Pfizer/BioNTech,3777160,Italy
2021-02-27,Moderna,131001,Italy
2021-02-27,Oxford/AstraZeneca,305951,Italy
2021-02-27,Pfizer/BioNTech,3851693,Italy
2021-02-28,Pfizer/BioNTech,3900444,Italy
2021-02-28,Moderna,133690,Italy
2021-02-28,Oxford/AstraZeneca,332339,Italy
2021-03-01,Oxford/AstraZeneca,372019,Italy
2021-03-01,Pfizer/BioNTech,3988064,Italy
2021-03-01,Moderna,140684,Italy
2021-03-02,Moderna,148102,Italy
2021-03-02,Oxford/AstraZeneca,427446,Italy
2021-03-02,Pfizer/BioNTech,4084495,Italy
2021-03-03,Moderna,157987,Italy
2021-03-03,Oxford/AstraZeneca,484178,Italy
2021-03-03,Pfizer/BioNTech,4202354,Italy
2021-03-04,Moderna,168802,Italy
2021-03-04,Oxford/AstraZeneca,542997,Italy
2021-03-04,Pfizer/BioNTech,4327101,Italy
2021-03-05,Pfizer/BioNTech,4453137,Italy
2021-03-05,Moderna,180882,Italy
2021-03-05,Oxford/AstraZeneca,606571,Italy
2021-03-06,Pfizer/BioNTech,4553051,Italy
2021-03-06,Oxford/AstraZeneca,668988,Italy
2021-03-06,Moderna,193958,Italy
2021-03-07,Moderna,201359,Italy
2021-03-07,Oxford/AstraZeneca,704530,Italy
2021-03-07,Pfizer/BioNTech,4610501,Italy
2021-03-08,Moderna,213485,Italy
2021-03-08,Oxford/AstraZeneca,760666,Italy
2021-03-08,Pfizer/BioNTech,4718986,Italy
2021-03-09,Pfizer/BioNTech,4837323,Italy
2021-03-09,Moderna,225652,Italy
2021-03-09,Oxford/AstraZeneca,819630,Italy
2021-03-10,Oxford/AstraZeneca,881943,Italy
2021-03-10,Pfizer/BioNTech,4973889,Italy
2021-03-10,Moderna,236549,Italy
2021-03-11,Pfizer/BioNTech,5112247,Italy
2021-03-11,Moderna,248531,Italy
2021-03-11,Oxford/AstraZeneca,948928,Italy
2021-03-12,Moderna,258148,Italy
2021-03-12,Oxford/AstraZeneca,1017131,Italy
2021-03-12,Pfizer/BioNTech,5240043,Italy
