date,vaccine,total_vaccinations,location
2021-02-24,Pfizer/BioNTech,559641,Czechia
2021-02-24,Moderna,35514,Czechia
2021-02-25,Oxford/AstraZeneca,21008,Czechia
2021-02-25,Pfizer/BioNTech,577505,Czechia
2021-02-25,Moderna,36690,Czechia
2021-02-26,Moderna,37471,Czechia
2021-02-26,Oxford/AstraZeneca,24287,Czechia
2021-02-26,Pfizer/BioNTech,594682,Czechia
2021-02-27,Moderna,37642,Czechia
2021-02-27,Oxford/AstraZeneca,24899,Czechia
2021-02-27,Pfizer/BioNTech,597373,Czechia
2021-02-28,Moderna,37834,Czechia
2021-02-28,Oxford/AstraZeneca,25358,Czechia
2021-02-28,Pfizer/BioNTech,599583,Czechia
2021-03-01,Moderna,39477,Czechia
2021-03-01,Oxford/AstraZeneca,29270,Czechia
2021-03-01,Pfizer/BioNTech,616692,Czechia
2021-03-02,Pfizer/BioNTech,635997,Czechia
2021-03-02,Oxford/AstraZeneca,38265,Czechia
2021-03-02,Moderna,41332,Czechia
2021-03-03,Moderna,44962,Czechia
2021-03-03,Oxford/AstraZeneca,47689,Czechia
2021-03-03,Pfizer/BioNTech,657606,Czechia
2021-03-04,Moderna,49559,Czechia
2021-03-04,Oxford/AstraZeneca,56642,Czechia
2021-03-04,Pfizer/BioNTech,681150,Czechia
2021-03-05,Moderna,53114,Czechia
2021-03-05,Oxford/AstraZeneca,64763,Czechia
2021-03-05,Pfizer/BioNTech,703151,Czechia
2021-03-06,Moderna,54491,Czechia
2021-03-06,Oxford/AstraZeneca,69131,Czechia
2021-03-06,Pfizer/BioNTech,710170,Czechia
2021-03-07,Pfizer/BioNTech,716891,Czechia
2021-03-07,Oxford/AstraZeneca,73253,Czechia
2021-03-07,Moderna,55761,Czechia
2021-03-08,Moderna,58793,Czechia
2021-03-08,Oxford/AstraZeneca,80938,Czechia
2021-03-08,Pfizer/BioNTech,740249,Czechia
2021-03-09,Moderna,63962,Czechia
2021-03-09,Oxford/AstraZeneca,91797,Czechia
2021-03-09,Pfizer/BioNTech,766089,Czechia
2021-03-10,Moderna,68928,Czechia
2021-03-10,Oxford/AstraZeneca,102379,Czechia
2021-03-10,Pfizer/BioNTech,798110,Czechia
2021-03-11,Moderna,73112,Czechia
2021-03-11,Oxford/AstraZeneca,113838,Czechia
2021-03-11,Pfizer/BioNTech,834885,Czechia
2021-03-12,Pfizer/BioNTech,864074,Czechia
2021-03-12,Oxford/AstraZeneca,125826,Czechia
2021-03-12,Moderna,78435,Czechia
2021-03-13,Moderna,79688,Czechia
2021-03-13,Oxford/AstraZeneca,128757,Czechia
2021-03-13,Pfizer/BioNTech,877990,Czechia
2021-03-14,Moderna,80801,Czechia
2021-03-14,Oxford/AstraZeneca,129659,Czechia
2021-03-14,Pfizer/BioNTech,889010,Czechia
2021-03-15,Moderna,87445,Czechia
2021-03-15,Oxford/AstraZeneca,137538,Czechia
2021-03-15,Pfizer/BioNTech,910993,Czechia
2021-03-16,Moderna,96482,Czechia
