Entity,Code,Date,"Deaths, 2020, all ages","Average deaths, 2015–2019, all ages"
Austria,AUT,2020-01-05,1610,1809
Austria,AUT,2020-01-12,1702,1857
Austria,AUT,2020-01-19,1797,1786
Austria,AUT,2020-01-26,1779,1747
Austria,AUT,2020-02-02,1947,1819
Austria,AUT,2020-02-09,1680,1837
Austria,AUT,2020-02-16,1721,1813
Austria,AUT,2020-02-23,1719,1822
Austria,AUT,2020-03-01,1768,1816
Austria,AUT,2020-03-08,1744,1754
Austria,AUT,2020-03-15,1718,1711
Austria,AUT,2020-03-22,1836,1598
Austria,AUT,2020-03-29,1764,1646
Austria,AUT,2020-04-05,1828,1585
Austria,AUT,2020-04-12,1793,1546
Austria,AUT,2020-04-19,1704,1523
Austria,AUT,2020-04-26,1588,1470
Austria,AUT,2020-05-03,1480,1465
Austria,AUT,2020-05-10,1520,1439
Austria,AUT,2020-05-17,1489,1463
Austria,AUT,2020-05-24,1481,1422
Austria,AUT,2020-05-31,1414,1414
Austria,AUT,2020-06-07,1490,1412
Austria,AUT,2020-06-14,1461,1443
Austria,AUT,2020-06-21,1413,1408
Austria,AUT,2020-06-28,1437,1400
Austria,AUT,2020-07-05,1559,1435
Austria,AUT,2020-07-12,1383,1377
Austria,AUT,2020-07-19,1443,1470
Austria,AUT,2020-07-26,1452,1489
Austria,AUT,2020-08-02,1525,1505
Austria,AUT,2020-08-09,1431,1426
Austria,AUT,2020-08-16,1604,1461
Austria,AUT,2020-08-23,1472,1434
Austria,AUT,2020-08-30,1493,1427
Austria,AUT,2020-09-06,1512,1377
Austria,AUT,2020-09-13,1556,1425
Austria,AUT,2020-09-20,1553,1423
Austria,AUT,2020-09-27,1540,1472
Belgium,BEL,2020-01-05,2226,2390
Belgium,BEL,2020-01-12,2380,2432
Belgium,BEL,2020-01-19,2306,2423
Belgium,BEL,2020-01-26,2197,2422
Belgium,BEL,2020-02-02,2355,2510
Belgium,BEL,2020-02-09,2162,2488
