Entity,Code,Date,"Excess mortality P-scores, ages 15–64","Excess mortality P-scores, ages 65–74","Excess mortality P-scores, ages 75–84","Excess mortality P-scores, ages 85+"
Austria,AUT,2020-01-05,-5,-23,-6,-11
Austria,AUT,2020-01-12,-1,-5,-5,-13
Austria,AUT,2020-01-19,-7,-1,10,-3
Austria,AUT,2020-01-26,14,-5,10,-5
Austria,AUT,2020-02-02,-6,0,20,6
Austria,AUT,2020-02-09,-16,-10,0,-11
Austria,AUT,2020-02-16,-5,-13,-6,-1
Austria,AUT,2020-02-23,-6,-2,-2,-9
Austria,AUT,2020-03-01,-2,-10,7,-6
Austria,AUT,2020-03-08,6,-1,2,-4
Austria,AUT,2020-03-15,5,-4,3,-2
Austria,AUT,2020-03-22,12,4,27,12
Austria,AUT,2020-03-29,6,-9,19,6
Austria,AUT,2020-04-05,13,1,24,16
Austria,AUT,2020-04-12,14,5,21,18
Austria,AUT,2020-04-19,4,4,19,14
Austria,AUT,2020-04-26,8,2,17,4
Austria,AUT,2020-05-03,8,-15,3,4
Austria,AUT,2020-05-10,5,2,8,6
Austria,AUT,2020-05-17,-5,4,7,0
Austria,AUT,2020-05-24,-7,3,16,1
Austria,AUT,2020-05-31,13,-6,-5,2
Austria,AUT,2020-06-07,12,-2,7,6
Austria,AUT,2020-06-14,0,-1,3,2
Austria,AUT,2020-06-21,-6,-8,-2,9
Austria,AUT,2020-06-28,-7,-1,1,10
Austria,AUT,2020-07-05,0,13,9,10
Austria,AUT,2020-07-12,-1,-1,3,-1
Austria,AUT,2020-07-19,-10,10,8,-9
Austria,AUT,2020-07-26,2,-5,3,-7
Austria,AUT,2020-08-02,0,-2,10,-3
Austria,AUT,2020-08-09,-1,-7,9,-2
Austria,AUT,2020-08-16,-3,8,17,10
Austria,AUT,2020-08-23,-10,0,14,1
Austria,AUT,2020-08-30,-4,-8,17,5
Austria,AUT,2020-09-06,2,5,23,7
Austria,AUT,2020-09-13,16,12,5,9
Austria,AUT,2020-09-20,-1,11,9,13
Austria,AUT,2020-09-27,-3,4,7,6
Belgium,BEL,2020-01-05,-7,-1,-13,-5
Belgium,BEL,2020-01-12,-4,5,-12,2
Belgium,BEL,2020-01-19,-14,8,-13,-2
Belgium,BEL,2020-01-26,-13,3,-15,-9
Belgium,BEL,2020-02-02,-1,2,-8,-9
Belgium,BEL,2020-02-09,-6,-4,-15,-17
Belgium,BEL,2020-02-16,-5,3,-12,-11
Belgium,BEL,2020-02-23,-4,6,-15,-8
Belgium,BEL,2020-03-01,-24,-2,-10,-12
Belgium,BEL,2020-03-08,-8,-5,-16,-7
Belgium,BEL,2020-03-15,2,0,-8,-7
Belgium,BEL,2020-03-22,-4,27,8,10
Belgium,BEL,2020-03-29,5,47,46,53
Belgium,BEL,2020-04-05,24,78,90,119
Belgium,BEL,2020-04-12,26,62,119,143
Belgium,BEL,2020-04-19,8,63,70,124
Belgium,BEL,2020-04-26,6,32,42,78
Belgium,BEL,2020-05-03,-8,14,16,36
Belgium,BEL,2020-05-10,-8,13,12,34
Belgium,BEL,2020-05-17,-2,5,-1,7
Belgium,BEL,2020-05-24,-7,3,-4,19
Belgium,BEL,2020-05-31,4,0,-17,18
Belgium,BEL,2020-06-07,-15,3,-11,2
Belgium,BEL,2020-06-14,-2,4,-4,7
Belgium,BEL,2020-06-21,-15,-6,-11,2
Belgium,BEL,2020-06-28,-8,17,-3,7
Belgium,BEL,2020-07-05,-12,-8,-22,-8
Belgium,BEL,2020-07-12,-11,-4,-14,-9
Belgium,BEL,2020-07-19,-7,-2,-7,0
Belgium,BEL,2020-07-26,-14,-4,-16,-6
Belgium,BEL,2020-08-02,-6,6,3,6
Belgium,BEL,2020-08-09,-9,13,9,13
Belgium,BEL,2020-08-16,22,48,44,79
Belgium,BEL,2020-08-23,4,19,4,26
Belgium,BEL,2020-08-30,-12,0,-2,1
Belgium,BEL,2020-09-06,3,4,-6,5
Belgium,BEL,2020-09-13,-3,3,-10,-3
Belgium,BEL,2020-09-20,-8,10,-8,14
Bulgaria,BGR,2020-01-05,-23,-15,-21,-16
Bulgaria,BGR,2020-01-12,-11,-4,-18,-12
Bulgaria,BGR,2020-01-19,-17,-8,-21,-6
Bulgaria,BGR,2020-01-26,-7,1,-17,7
Bulgaria,BGR,2020-02-02,-10,1,-3,6
Bulgaria,BGR,2020-02-09,2,6,-9,9
Bulgaria,BGR,2020-02-16,7,0,-2,-2
Bulgaria,BGR,2020-02-23,-3,-1,-12,-5
Bulgaria,BGR,2020-03-01,-9,3,-12,3
Bulgaria,BGR,2020-03-08,-15,1,-14,-9
Bulgaria,BGR,2020-03-15,-4,-1,-14,-1
Bulgaria,BGR,2020-03-22,-9,-1,-13,1
Bulgaria,BGR,2020-03-29,-10,2,-6,2
Bulgaria,BGR,2020-04-05,4,0,-12,-5
Bulgaria,BGR,2020-04-12,1,9,-10,-5
Bulgaria,BGR,2020-04-19,7,-4,-7,-2
Bulgaria,BGR,2020-04-26,1,0,-13,0
Bulgaria,BGR,2020-05-03,-4,2,-18,0
Bulgaria,BGR,2020-05-10,-8,5,-12,-6
Bulgaria,BGR,2020-05-17,-2,12,4,8
Bulgaria,BGR,2020-05-24,-8,0,-7,-1
Bulgaria,BGR,2020-05-31,-9,12,-11,-22
Bulgaria,BGR,2020-06-07,-10,-1,1,5
Bulgaria,BGR,2020-06-14,2,4,-4,0
Bulgaria,BGR,2020-06-21,2,6,-11,-3
Bulgaria,BGR,2020-06-28,-1,8,-13,-1
Bulgaria,BGR,2020-07-05,9,13,5,24
Bulgaria,BGR,2020-07-12,1,5,10,4
Bulgaria,BGR,2020-07-19,-2,13,-9,-7
Bulgaria,BGR,2020-07-26,-5,7,-5,3
Bulgaria,BGR,2020-08-02,0,13,2,23
Bulgaria,BGR,2020-08-09,-10,19,3,13
Bulgaria,BGR,2020-08-16,7,10,3,4
Bulgaria,BGR,2020-08-23,-5,12,1,6
Bulgaria,BGR,2020-08-30,8,10,-5,13
Bulgaria,BGR,2020-09-06,12,12,-4,13
Bulgaria,BGR,2020-09-13,-1,8,-2,14
Bulgaria,BGR,2020-09-20,-3,15,-3,-3
Bulgaria,BGR,2020-09-27,-6,6,5,-7
Croatia,HRV,2020-01-05,-11,-8,-29,-9
Croatia,HRV,2020-01-12,-12,-17,-25,-9
Croatia,HRV,2020-01-19,-24,-7,-24,-13
Croatia,HRV,2020-01-26,-9,3,-18,-9
Croatia,HRV,2020-02-02,-8,5,-19,-4
Croatia,HRV,2020-02-09,-14,-5,-17,15
Croatia,HRV,2020-02-16,-13,1,-10,-4
Croatia,HRV,2020-02-23,1,-6,-11,0
Croatia,HRV,2020-03-01,-16,-4,-18,1
Croatia,HRV,2020-03-08,-18,8,-19,2
Croatia,HRV,2020-03-15,1,16,-12,5
Croatia,HRV,2020-03-22,1,16,-6,2
Croatia,HRV,2020-03-29,-3,15,13,5
Croatia,HRV,2020-04-05,-11,-1,-11,9
Croatia,HRV,2020-04-12,-14,10,-11,19
Croatia,HRV,2020-04-19,-1,4,-1,5
Croatia,HRV,2020-04-26,-14,-23,-17,0
Croatia,HRV,2020-05-03,-8,0,-15,5
Croatia,HRV,2020-05-10,-11,9,-24,-6
Croatia,HRV,2020-05-17,-24,6,-11,20
Croatia,HRV,2020-05-24,-12,5,-13,0
Croatia,HRV,2020-05-31,-23,9,-13,5
Croatia,HRV,2020-06-07,-6,2,-9,3
Croatia,HRV,2020-06-14,5,17,-12,20
Croatia,HRV,2020-06-21,-23,14,-15,14
Croatia,HRV,2020-06-28,-4,-11,-4,11
Croatia,HRV,2020-07-05,-18,20,-7,22
Croatia,HRV,2020-07-12,-12,-1,-10,7
Croatia,HRV,2020-07-19,-10,-2,-6,-12
Croatia,HRV,2020-07-26,-4,-7,-14,12
Czech Republic,CZE,2020-01-05,-4,-3,-1,-4
Czech Republic,CZE,2020-01-12,-9,-9,4,3
Czech Republic,CZE,2020-01-19,-18,-3,-4,-4
Czech Republic,CZE,2020-01-26,-6,-3,2,-4
Czech Republic,CZE,2020-02-02,-12,-5,-1,5
Czech Republic,CZE,2020-02-09,-14,-2,-2,-4
Czech Republic,CZE,2020-02-16,-19,-3,-4,2
