date,Worldwide,Afghanistan,Albania,Algeria,Andorra,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Bhutan,Bolivia (Plurinational State of),Bosnia and Herzegovina,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Cambodia,Cameroon,Canada,Chile,China,Colombia,Costa Rica,Croatia,Cyprus,Czechia,Democratic Republic of the Congo,Denmark,Dominican Republic,Ecuador,Egypt,Estonia,Faroe Islands,Finland,France,French Guiana,Georgia,Germany,Gibraltar,Greece,Guernsey,Holy See,Hungary,Iceland,India,Indonesia,International conveyance (Diamond Princess),Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kuwait,Latvia,Lebanon,Liechtenstein,Lithuania,Luxembourg,Malaysia,Maldives,Malta,Martinique,Mexico,Monaco,Mongolia,Morocco,Nepal,Netherlands,New Zealand,Nigeria,North Macedonia,Norway,Occupied Palestinian Territory,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Republic of Korea,Republic of Moldova,Romania,Russian Federation,Saint Barthélemy,Saint Martin,San Marino,Saudi Arabia,Senegal,Serbia,Singapore,Slovakia,Slovenia,South Africa,Spain,Sri Lanka,Sweden,Switzerland,Thailand,The United Kingdom,Togo,Tunisia,Ukraine,United Arab Emirates,United States of America,Viet Nam
2020-01-31,43,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-01,46,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-02,45,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-03,57,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-04,64,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-05,66,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-06,73,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-07,73,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-08,86,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-09,89,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-10,97,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-11,108,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-12,97,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-13,254,,,,,,,,,,,,,,,,,,,,,,,,,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-14,13,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-15,143,,,,,,,,,,,,,,,,,,,,,,,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-16,142,,,,,,,,,,,,,,,,,,,,,,,,,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-17,106,,,,,,,,,,,,,,,,,,,,,,,,,106,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-18,98,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-19,136,,,,,,,,,,,,,,,,,,,,,,,,,136,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-20,115,,,,,,,,,,,,,,,,,,,,,,,,,115,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-21,118,,,,,,,,,,,,,,,,,,,,,,,,,118,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-22,112,,,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,0,,,,,,,,,,,,0,2,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-23,102,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,0,,,,,,,,,,,,1,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-24,155,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,0,,,,,,,,,,,,0,3,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-25,82,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,0,,,,,,,,,,,,0,4,,,,4,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-26,62,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,0,,,,,,,,,,,,0,3,,,,5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-27,42,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,1,,,,,,,,,,,,1,7,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-28,54,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,0,,,,,,,,,,,,0,4,,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-29,66,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,0,,,,,,,,,,,,2,8,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-01,53,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,0,,,,,,,,,,,,0,9,,,,8,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-02,64,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,0,,,,,,,,,,,,0,11,,,,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-03,67,,,,,,,0,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,1,,,,,,,,,,,,0,12,,,,17,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,6,,,,,,,,,,,,,,,,,,0,,,,,,,
2020-03-04,86,,,,,,,0,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,1,,,,,,,,,,,,0,11,,,,28,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,4,,,,,,,,,,,,,,,,,,0,,,,,,4,
2020-03-05,79,,,,,,,0,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,0,,,,,,,,,,,,0,15,,,,27,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,3,,,,,,,,,,,,,,,,,,0,,,,,,3,
2020-03-06,99,,,,,,,1,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,2,,,,,,,,,,,,0,15,0,,,41,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,7,,,,,,,,,,,,,,2,,,,0,,,,,,1,
2020-03-07,104,,,,,,,0,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,3,,,,,,,,,,,,0,17,2,,,49,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,2,,,,,,,,,,,,,,2,,,0,0,,,,,,1,
2020-03-08,96,,,,,,,1,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,1,,,,,,,,,,,,1,21,0,,,37,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,6,,,,,,,,,,,,,,0,,,1,0,1,,,,,0,
2020-03-09,224,,,,,0,,0,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,9,,,,,,,,,,,,0,49,2,,,132,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,1,,,,,,0,,,,,,,,5,,,0,0,0,,,,,0,
2020-03-10,201,,,,,0,,0,,,,,,,,,,,,,,,,,,17,,,,,,,,,,0,,,,11,,,,,,,,,,,,0,43,0,,,97,,2,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,3,,,,,,1,,,,,,,,18,,,0,0,1,,,,,8,
2020-03-11,275,,,,,0,,0,,,,,,,,,,,,,,,,,,22,,,,,,,,,,0,,,,3,,,0,,,,,,,,,0,54,0,,,168,,3,,,,,,,,,,,,,,,,,1,,,,,,,,,,,0,,,,6,,,,,,0,,,,,,,,8,,,1,0,3,,,,,6,
