date,Worldwide,Afghanistan,Albania,Algeria,Andorra,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Bhutan,Bosnia and Herzegovina,Brazil,Brunei Darussalam,Bulgaria,Cambodia,Cameroon,Canada,Chile,China,Colombia,Costa Rica,Croatia,Cyprus,Czechia,Denmark,Dominican Republic,Ecuador,Egypt,Estonia,Faroe Islands,Finland,France,French Guiana,Georgia,Germany,Gibraltar,Greece,Holy See,Hungary,Iceland,India,Indonesia,International conveyance (Diamond Princess),Iran,Iraq,Ireland,Israel,Italy,Japan,Jordan,Kuwait,Latvia,Lebanon,Liechtenstein,Lithuania,Luxembourg,Malaysia,Maldives,Malta,Martinique,Mexico,Monaco,Mongolia,Morocco,Nepal,Netherlands,New Zealand,Nigeria,North Macedonia,Norway,Occupied Palestinian Territory,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Republic of Korea,Republic of Moldova,Romania,Russian Federation,Saint Barthélemy,Saint Martin,San Marino,Saudi Arabia,Senegal,Serbia,Singapore,Slovakia,Slovenia,South Africa,Spain,Sri Lanka,Sweden,Switzerland,Thailand,The United Kingdom,Togo,Tunisia,Ukraine,United Arab Emirates,United States of America,Viet Nam
2020-01-21,6,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-22,6,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-23,17,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-24,25,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-25,41,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-26,56,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-27,80,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-28,106,,,,,,,,,,,,,,,,,,,,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-29,132,,,,,,,,,,,,,,,,,,,,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-30,170,,,,,,,,,,,,,,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-31,213,,,,,,,,,,,,,,,,,,,,,,,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-01,259,,,,,,,,,,,,,,,,,,,,,,,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-02,305,,,,,,,,,,,,,,,,,,,,,,,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-03,362,,,,,,,,,,,,,,,,,,,,,,,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-04,426,,,,,,,,,,,,,,,,,,,,,,,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-05,492,,,,,,,,,,,,,,,,,,,,,,,491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-06,565,,,,,,,,,,,,,,,,,,,,,,,564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-07,638,,,,,,,,,,,,,,,,,,,,,,,637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-08,724,,,,,,,,,,,,,,,,,,,,,,,723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-09,813,,,,,,,,,,,,,,,,,,,,,,,812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-10,910,,,,,,,,,,,,,,,,,,,,,,,909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-11,1018,,,,,,,,,,,,,,,,,,,,,,,1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-12,1115,,,,,,,,,,,,,,,,,,,,,,,1114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-13,1369,,,,,,,,,,,,,,,,,,,,,,,1368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-14,1383,,,,,,,,,,,,,,,,,,,,,,,1381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-15,1526,,,,,,,,,,,,,,,,,,,,,,,1524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-16,1669,,,,,,,,,,,,,,,,,,,,,,,1666,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-17,1775,,,,,,,,,,,,,,,,,,,,,,,1772,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-18,1873,,,,,,,,,,,,,,,,,,,,,,,1870,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-19,2009,,,,,,,,,,,,,,,,,,,,,,,2006,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-20,2129,,,,,,,,,,,,,,,,,,,,,,,2121,,,,,,,,,,,,,1,,,,,,,,,,,2,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-21,2247,,,,,,,,,,,,,,,,,,,,,,,2239,,,,,,,,,,,,,1,,,,,,,,,,,2,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-22,2359,,,,,,,,,,,,,,,,,,,,,,,2348,,,,,,,,,,,,,1,,,,,,,,,,,2,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-23,2463,,,,,,,,,,,,,,,,,,,,,,,2445,,,,,,,,,,,,,1,,,,,,,,,,,3,5,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-24,2618,,,,,,,,,,,,,,,,,,,,,,,2595,,,,,,,,,,,,,1,,,,,,,,,,,3,8,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-25,2700,,,,,,,,,,,,,,,,,,,,,,,2666,,,,,,,,,,,,,1,,,,,,,,,,,3,12,,,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-26,2762,,,,,,,,,,,,,,,,,,,,,,,2718,,,,,,,,,,,,,1,,,,,,,,,,,3,15,,,,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-27,2804,,,,,,,,,,,,,,,,,,,,,,,2747,,,,,,,,,,,,,2,,,,,,,,,,,4,22,,,,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-28,2858,,,,,,,,,,,,,,,,,,,,,,,2791,,,,,,,,,,,,,2,,,,,,,,,,,4,26,,,,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-29,2924,,,,,,,,,,,,,,,,,,,,,,,2838,,,,,,,,,,,,,2,,,,,,,,,,,6,34,,,,21,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-01,2977,,,,,,,,,,,,,,,,,,,,,,,2873,,,,,,,,,,,,,2,,,,,,,,,,,6,43,,,,29,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-02,3043,,,,,,,1,,,,,,,,,,,,,,,,2915,,,,,,,,,,,,,2,,,,,,,,,,,6,54,,,,35,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,22,,,,,,,,,,,,,,,,,,1,,,,,,,
2020-03-03,3112,,,,,,,1,,,,,,,,,,,,,,,,2946,,,,,,,,,,,,,3,,,,,,,,,,,6,66,,,,52,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,28,,,,,,,,,,,,,,,,,,1,,,,,,2,
2020-03-04,3198,,,,,,,1,,,,,,,,,,,,,,,,2984,,,,,,,,,,,,,4,,,,,,,,,,,6,77,,,,80,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,32,,,,,,,,,,,,,,,,,,1,,,,,,6,
2020-03-05,3280,,,,,,,1,,,,,,,,,,,,,,,,3015,,,,,,,,,,,,,4,,,,,,,,,,,6,92,2,,,107,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,35,,,,,,,,,,,,,,1,,,,1,,,,,,9,
2020-03-06,3380,,,,,,,2,,,,,,,,,,,,,,,,3045,,,,,,,,,,,,,6,,,,,,,,,,,6,107,2,,,148,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,42,,,,,,,,,,,,,,3,,,1,1,,,,,,10,
2020-03-07,3486,,,,,,,2,,,,,,,,,,,,,,,,3073,,,,,,,,,,,,,9,,,,,,,,,,,6,124,4,,,197,6,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,44,,,,,,,,,,,,,,5,,,1,1,1,,,,,11,
2020-03-08,3584,,,,,1,,3,,,,,,,,,,,,,,,,3100,,,,,,,,,,,,,10,,,,,,,,,,,7,145,4,,,234,6,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,50,,,,,,1,,,,,,,,5,,,2,1,2,,,,,11,
