location,days_to_double_cases
Afghanistan,4
Albania,1
Algeria,7
Andorra,
Argentina,4
Armenia,
Australia,7
Austria,4
Azerbaijan,5
Bahrain,4
Bangladesh,
Belarus,7
Belgium,4
Bhutan,
Bolivia (Plurinational State of),
Bosnia and Herzegovina,1
Brazil,4
Brunei Darussalam,
Bulgaria,1
Burkina Faso,
Cambodia,4
Cameroon,5
Canada,5
Chile,3
China,30
Colombia,2
Costa Rica,3
Croatia,8
Cyprus,
Czechia,3
Democratic Republic of the Congo,
Denmark,1
Dominican Republic,2
Ecuador,6
Egypt,4
Estonia,5
Faroe Islands,3
Finland,3
France,3
French Guiana,
Georgia,4
Germany,4
Gibraltar,
Greece,4
Guernsey,
Holy See,
Hungary,4
Iceland,5
India,5
Indonesia,2
International conveyance (Diamond Princess),25
Iran,5
Iraq,8
Ireland,5
Israel,3
Italy,4
Jamaica,
Japan,7
Jordan,
Kuwait,14
Latvia,2
Lebanon,5
Liechtenstein,
Lithuania,
Luxembourg,2
Malaysia,5
Maldives,1
Malta,
Martinique,
Mexico,10
Monaco,
Mongolia,
Morocco,7
Nepal,
Netherlands,3
New Zealand,6
Nigeria,3
North Macedonia,2
Norway,4
Occupied Palestinian Territory,5
Oman,8
Pakistan,2
Panama,1
Paraguay,1
Peru,4
Philippines,2
Poland,2
Portugal,4
Qatar,3
Republic of Korea,10
Republic of Moldova,1
Romania,4
Russian Federation,6
Saint Barthélemy,
Saint Martin,
San Marino,3
Saudi Arabia,4
Senegal,7
Serbia,1
Singapore,21
Slovakia,3
Slovenia,3
South Africa,2
Spain,2
Sri Lanka,
Sweden,3
Switzerland,4
Thailand,33
The United Kingdom,4
Togo,
Tunisia,1
Ukraine,
United Arab Emirates,5
United States of America,2
Viet Nam,4
Worldwide,24
