date,Worldwide,Afghanistan,Albania,Algeria,Andorra,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Bhutan,Bolivia (Plurinational State of),Bosnia and Herzegovina,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Cambodia,Cameroon,Canada,Chile,China,Colombia,Costa Rica,Croatia,Cyprus,Czechia,Democratic Republic of the Congo,Denmark,Dominican Republic,Ecuador,Egypt,Estonia,Faroe Islands,Finland,France,French Guiana,Georgia,Germany,Gibraltar,Greece,Guernsey,Holy See,Hungary,Iceland,India,Indonesia,International conveyance (Diamond Princess),Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kuwait,Latvia,Lebanon,Liechtenstein,Lithuania,Luxembourg,Malaysia,Maldives,Malta,Martinique,Mexico,Monaco,Mongolia,Morocco,Nepal,Netherlands,New Zealand,Nigeria,North Macedonia,Norway,Occupied Palestinian Territory,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Republic of Korea,Republic of Moldova,Romania,Russian Federation,Saint Barthélemy,Saint Martin,San Marino,Saudi Arabia,Senegal,Serbia,Singapore,Slovakia,Slovenia,South Africa,Spain,Sri Lanka,Sweden,Switzerland,Thailand,The United Kingdom,Togo,Tunisia,Ukraine,United Arab Emirates,United States of America,Viet Nam
2020-02-16,51857,,,,,,,15,,,,,,1,,,,,,,,1,,7,,51174,,,,,,,,,,1,,,1,12,,,16,,,,,,,3,,355,,,,,3,,53,,,,,,,,22,,,,,,,,1,,,,,,,,,,,,3,,,,29,,,2,,,,,,,72,,,,2,1,1,,34,9,,,,8,15,16
2020-02-17,71429,,,,,,,15,,,,,,1,,,,,,,,1,,7,,70635,,,,,,,,,,1,,,1,12,,,16,,,,,,,3,,454,,,,,3,,59,,,,,,,,22,,,,,,,,1,,,,,,,,,,,,3,,,,30,,,2,,,,,,,75,,,,2,1,1,,35,9,,,,9,15,16
2020-02-18,73332,,,,,,,15,,,,,,1,,,,,,,,1,,8,,72528,,,,,,,,,,1,,,1,12,,,16,,,,,,,3,,454,,,,,3,,65,,,,,,,,22,,,,,,,,1,,,,,,,,,,,,3,,,,31,,,2,,,,,,,77,,,,2,1,1,,35,9,,,,9,15,16
2020-02-19,75204,,,,,,,15,,,,,,1,,,,,,,,1,,8,,74280,,,,,,,,,,1,,,1,12,,,16,,,,,,,3,,542,,,,,3,,73,,,,,,,,22,,,,,,,,1,,,,,,,,,,,,3,,,,51,,,2,,,,,,,81,,,,2,1,1,,35,9,,,,9,15,16
2020-02-20,75748,,,,,,,15,,,,,,1,,,,,,,,1,,8,,74675,,,,,,,,,,1,,,1,12,,,16,,,,,,,3,,621,2,,,,3,,85,,,,,,,,22,,,,,,,,1,,,,,,,,,,,,3,,,,104,,,2,,,,,,,84,,,,2,1,1,,35,9,,,,9,15,16
2020-02-21,76769,,,,,,,17,,,,,,1,,,,,,,,1,,8,,75569,,,,,,,,,,1,,,1,12,,,16,,,,,,,3,,634,5,,,,3,,93,,,,,,,,22,,,,,,,,1,,,,,,,,,,,,3,,,,204,,,2,,,,,,,85,,,,2,1,1,,35,9,,,,9,15,16
2020-02-22,77794,,,,,,,21,,,,,,1,,,,,,,,1,,8,,76392,,,,,,,,,,1,,,1,12,,,16,,,,,,,3,,634,18,,,1,9,,105,,,,1,,,,22,,,,,,,,1,,,,,,,,,,,,3,,,,346,,,2,,,,,,,86,,,,2,1,1,,35,9,,,,11,35,16
2020-02-23,78811,,,,,,,22,,,,,,1,,,,,,,,1,,9,,77042,,,,,,,,,,1,,,1,12,,,16,,,,,,,3,,634,28,,,1,76,,132,,,,1,,,,22,,,,,,,,1,,,,,,,,,,,,3,,,,602,,,2,,,,,,,89,,,,2,1,1,,35,9,,,,13,35,16
2020-02-24,79331,,,,,,,22,,,,,,1,,,,,,,,1,,9,,77262,,,,,,,,,,1,,,1,12,,,16,,,,,,,3,,695,43,,,1,124,,144,,3,,1,,,,22,,,,,,,,1,,,,,,,,,,,,3,,,,763,,,2,,,,,,,89,,,,2,1,1,,35,9,,,,13,35,16
2020-02-25,80239,1,,,,,,22,,,8,,,1,,,,,,,,1,,10,,77780,,,,,,,,,,1,,,1,12,,,16,,,,,,,3,,691,61,1,,2,229,,157,,8,,1,,,,22,,,,,,,,1,,,,,,,2,,,,,3,,,,977,,,2,,,,,,,90,,,,2,1,1,,37,13,,,,13,53,16
2020-02-26,81109,1,,1,,,,23,2,,26,,,1,,,,,,,,1,,10,,78191,,,2,,,,,,,1,,,1,12,,,18,,,,,,,3,,691,95,5,,2,322,,164,,12,,1,,,,22,,,,,,,,1,,,,,,,4,,,,,3,,,,1261,,,2,,,,,,,91,,,,2,1,1,1,40,13,,,,13,53,16
2020-02-27,82294,1,,1,,,,23,2,,33,,,1,,,,1,,,,1,,11,,78630,,,3,,,,1,,,1,1,,2,18,,1,21,,1,,,,,3,,705,141,6,,2,400,,186,,43,,2,,,,22,,,,,,,,1,,,,1,1,,4,2,,,,3,,,,1766,,1,2,,,,,,,93,,,,12,1,2,1,40,13,,,,13,59,16
2020-02-28,83652,1,,1,,,,23,4,,33,,1,1,,,,1,,,,1,,11,,78961,,,3,,,,1,,,1,1,,2,38,,1,26,,3,,,,,3,,705,245,7,,3,650,,210,,43,,2,,1,,24,,,,,,,,1,1,1,1,1,4,,6,2,,,,3,,,,2337,,1,2,,,,,,,96,,,,25,1,7,6,40,16,,,,19,59,16
2020-02-29,85403,1,,1,,,,24,5,,38,,1,1,,,,1,,,,1,,14,,79394,,,5,,,,2,,,1,1,,2,57,,2,57,,3,,,,,3,,705,388,8,,5,888,,230,,45,,2,,1,,24,,,,2,,,,1,2,1,1,1,6,,6,2,,,,3,,,,3150,,3,2,,,1,,,,98,,,,32,1,12,10,42,20,,,,19,62,16
2020-03-01,87137,1,,1,,,,25,10,3,40,,1,1,,,,2,,,,1,,19,,79968,,,7,,,,3,,1,1,1,,2,100,,3,57,,3,,,,,3,,705,593,13,1,7,1128,,239,,45,,2,,1,,24,,,,2,1,,,1,7,1,1,1,15,,6,4,,,,3,,,1,3736,,3,2,,,1,,,,102,,,,45,1,13,18,42,23,,,,19,62,16
2020-03-02,88948,1,,1,,,1,27,10,3,47,,1,1,,,,2,,,,1,,19,,80174,,,7,,3,,4,1,1,2,1,,6,100,,3,129,,7,,,,2,3,2,706,978,19,1,7,1689,,254,,56,,10,,1,1,24,,,,5,1,,,1,13,1,1,1,19,,6,4,,,,3,,,3,4212,,3,2,,,1,,,,106,,,,45,1,14,24,42,36,,,,21,62,16
2020-03-03,90869,1,,5,1,,1,33,18,3,49,,1,8,,,,2,,,,1,,27,,80304,,,8,,3,,5,1,6,2,1,,7,191,,3,157,,7,,,,9,5,2,706,1501,26,1,10,2036,,268,1,56,1,13,,1,1,29,,,,5,1,,1,1,18,2,1,1,25,,6,5,,,,3,,2,7,4812,,3,3,,,8,1,1,,108,,,,114,1,15,30,43,39,,1,,21,64,16
2020-03-04,93090,1,,5,1,1,1,43,24,3,49,,1,8,,,,2,,,,1,,30,1,80422,,,9,,5,,8,1,7,2,2,,7,212,,3,196,,7,,,,16,6,2,706,2336,31,2,12,2502,,284,1,56,1,13,,1,1,50,,,,5,1,,1,1,28,2,1,1,32,,12,5,,,,3,1,2,8,5328,,4,3,,,8,1,1,,110,,,,151,1,24,37,43,51,,1,1,27,108,16
2020-03-05,95324,1,,12,1,1,1,57,37,3,49,,6,23,,,2,3,,,,1,,30,1,80565,,,9,,5,,10,1,7,2,2,,7,282,,3,262,1,9,,,2,26,29,2,706,2922,36,2,15,3089,,317,1,58,1,13,1,1,1,50,,,,5,1,,2,1,38,2,1,1,56,4,15,5,,,,3,1,7,8,5766,,4,3,1,2,16,2,4,,110,,1,,198,1,35,56,47,89,,1,1,27,129,16
2020-03-06,98192,1,,12,1,1,1,57,47,3,49,,6,50,1,,2,7,,,,1,1,45,1,80711,,,10,,12,,18,1,13,3,3,,12,420,,9,534,1,32,,,2,26,30,2,696,3513,36,14,15,3858,,349,1,58,1,16,1,1,1,55,,,,5,1,,2,1,82,4,1,1,86,7,16,5,,,,5,1,9,8,6284,,6,4,1,2,21,8,4,1,117,,6,1,257,1,61,86,47,118,,1,1,27,148,16
2020-03-07,101927,1,,17,1,2,1,62,66,9,49,,6,109,1,,2,13,,,,1,2,51,5,80813,1,,11,,12,,23,1,14,3,10,,19,613,,9,639,1,32,,1,5,45,31,2,696,4747,44,18,19,4636,,408,1,58,1,22,1,1,2,83,,,,5,1,,2,1,128,5,1,3,113,16,16,5,,,1,5,5,13,11,6767,,7,7,1,2,24,8,4,1,130,1,9,1,374,1,137,209,48,167,1,1,1,45,213,17
2020-03-08,105592,4,,17,1,9,1,74,104,9,56,,6,169,1,,2,19,,2,,2,2,57,5,80859,1,5,11,,26,,31,1,14,48,10,1,19,706,5,12,795,1,66,,1,7,45,34,6,696,5823,54,19,25,5883,,455,1,62,1,28,1,1,2,93,2,3,2,7,1,,2,1,188,5,1,3,147,16,16,5,,,6,6,6,21,12,7134,1,13,7,1,2,27,11,4,1,138,3,12,2,430,1,161,264,50,210,1,1,1,45,213,21
2020-03-09,109577,4,2,20,1,12,1,77,112,9,79,3,6,200,1,,2,25,,4,,2,2,62,10,80904,1,9,11,,32,,36,1,15,55,10,2,30,1116,5,13,1112,1,73,,1,9,55,43,6,696,6566,60,21,39,7375,,488,1,64,3,32,1,1,2,93,4,3,2,7,1,,2,1,265,5,2,3,169,19,16,6,,1,6,10,11,30,15,7382,1,15,7,1,2,37,15,4,1,150,5,16,3,589,1,203,332,50,277,1,2,1,45,213,30
2020-03-10,113702,4,2,20,1,12,1,92,131,9,109,3,6,239,1,,2,25,1,4,,2,2,77,13,80924,3,9,12,2,38,,90,5,15,59,10,2,40,1402,5,15,1139,1,73,1,1,9,55,44,19,696,7161,61,24,39,9172,,514,1,65,6,41,1,1,5,117,4,4,2,7,1,1,2,1,321,5,2,7,192,26,18,16,1,1,9,33,16,30,18,7513,1,15,7,1,2,49,15,4,1,160,7,23,7,1024,1,248,332,53,323,1,2,1,59,472,31
2020-03-11,118326,4,10,20,1,17,1,112,182,9,110,3,9,267,1,2,4,34,1,10,2,3,2,93,17,80955,3,13,16,2,61,1,262,5,15,59,13,2,40,1774,5,23,1296,1,89,1,1,13,61,60,27,696,8042,61,34,75,10149,1,568,1,69,8,41,1,1,5,129,8,4,3,7,1,1,3,1,382,5,2,7,277,30,18,16,8,8,11,49,22,41,24,7755,3,25,7,1,2,63,20,4,12,166,7,31,7,1639,1,326,491,59,373,1,6,1,74,696,35
