location,iso_code,year,cardiovasc_death_rate
Afghanistan,AFG,2017,597.029
Albania,ALB,2017,304.195
Algeria,DZA,2017,278.364
American Samoa,ASM,2017,283.75
Andean Latin America,"",2017,116.85
Andorra,AND,2017,109.135
Angola,AGO,2017,276.045
Antigua and Barbuda,ATG,2017,191.511
Argentina,ARG,2017,191.032
Armenia,ARM,2017,341.01
Australasia,"",2017,111.062
Australia,AUS,2017,107.791
Austria,AUT,2017,145.183
Azerbaijan,AZE,2017,559.812
Bahamas,BHS,2017,235.954
Bahrain,BHR,2017,151.689
Bangladesh,BGD,2017,298.003
Barbados,BRB,2017,170.05
Belarus,BLR,2017,443.129
Belgium,BEL,2017,114.898
Belize,BLZ,2017,176.957
Benin,BEN,2017,235.848
Bermuda,BMU,2017,139.547
Bhutan,BTN,2017,217.066
Bolivia,BOL,2017,204.299
Bosnia and Herzegovina,BIH,2017,329.635
Botswana,BWA,2017,237.372
Brazil,BRA,2017,177.961
Brunei,BRN,2017,201.285
Bulgaria,BGR,2017,424.688
Burkina Faso,BFA,2017,269.048
Burundi,BDI,2017,293.068
Cambodia,KHM,2017,270.892
Cameroon,CMR,2017,244.661
Canada,CAN,2017,105.599
Cape Verde,CPV,2017,182.219
Caribbean,"",2017,227.371
Central African Republic,CAF,2017,435.727
Central Asia,"",2017,535.396
Central Europe,"",2017,292.69
"Central Europe, Eastern Europe, and Central Asia","",2017,404.677
Central Latin America,"",2017,152.856
Central Sub-Saharan Africa,"",2017,313.808
Chad,TCD,2017,280.995
Chile,CHL,2017,127.993
China,CHN,2017,261.899
Colombia,COL,2017,124.24
Comoros,COM,2017,261.516
Congo,COG,2017,344.094
Costa Rica,CRI,2017,137.973
Cote d'Ivoire,CIV,2017,303.74
Croatia,HRV,2017,253.782
Cuba,CUB,2017,190.968
Cyprus,CYP,2017,141.171
Czech Republic,CZE,2017,227.485
Democratic Republic of Congo,COD,2017,318.949
Denmark,DNK,2017,114.767
Djibouti,DJI,2017,258.037
Dominica,DMA,2017,227.376
Dominican Republic,DOM,2017,266.653
East Asia,"",2017,259.029
Eastern Europe,"",2017,452.228
Eastern Sub-Saharan Africa,"",2017,237.289
Ecuador,ECU,2017,140.448
Egypt,EGY,2017,525.432
El Salvador,SLV,2017,167.295
England,"",2017,118.942
Equatorial Guinea,GNQ,2017,202.812
Eritrea,ERI,2017,311.11
Estonia,EST,2017,255.569
Ethiopia,ETH,2017,182.634
Fiji,FJI,2017,412.82
Finland,FIN,2017,153.507
France,FRA,2017,86.06
Gabon,GAB,2017,259.967
Gambia,GMB,2017,331.43
Georgia,GEO,2017,496.218
Germany,DEU,2017,156.139
Ghana,GHA,2017,298.245
Greece,GRC,2017,175.695
Greenland,GRL,2017,199.941
Grenada,GRD,2017,243.964
Guam,GUM,2017,310.496
Guatemala,GTM,2017,155.898
Guinea,GIN,2017,336.717
Guinea-Bissau,GNB,2017,382.474
Guyana,GUY,2017,373.159
Haiti,HTI,2017,430.548
High SDI,"",2017,125.699
High-income,"",2017,121.781
High-income Asia Pacific,"",2017,79.625
High-middle SDI,"",2017,292.186
Honduras,HND,2017,240.208
Hungary,HUN,2017,278.296
Iceland,ISL,2017,117.992
India,IND,2017,282.28
Indonesia,IDN,2017,342.864
Iran,IRN,2017,270.308
Iraq,IRQ,2017,218.612
Ireland,IRL,2017,126.459
Israel,ISR,2017,93.32
Italy,ITA,2017,113.151
Jamaica,JAM,2017,206.537
Japan,JPN,2017,79.37
Jordan,JOR,2017,208.257
Kazakhstan,KAZ,2017,466.792
Kenya,KEN,2017,218.637
Kiribati,KIR,2017,434.657
Kuwait,KWT,2017,132.235
Kyrgyzstan,KGZ,2017,436.362
Laos,LAO,2017,368.111
Latin America and Caribbean,"",2017,166.558
Latvia,LVA,2017,350.06
Lebanon,LBN,2017,266.591
Lesotho,LSO,2017,405.126
Liberia,LBR,2017,272.509
Libya,LBY,2017,341.862
Lithuania,LTU,2017,342.989
Low SDI,"",2017,270.564
Low-middle SDI,"",2017,299.709
Luxembourg,LUX,2017,128.275
Macedonia,MKD,2017,322.688
Madagascar,MDG,2017,405.994
Malawi,MWI,2017,227.349
Malaysia,MYS,2017,260.942
Maldives,MDV,2017,164.905
Mali,MLI,2017,268.024
Malta,MLT,2017,168.711
Marshall Islands,MHL,2017,557.793
Mauritania,MRT,2017,232.347
Mauritius,MUS,2017,224.644
Mexico,MEX,2017,152.783
Micronesia (country),FSM,2017,454.343
Middle SDI,"",2017,256.812
Moldova,MDA,2017,408.502
Mongolia,MNG,2017,460.043
Montenegro,MNE,2017,387.305
Morocco,MAR,2017,419.146
Mozambique,MOZ,2017,329.942
Myanmar,MMR,2017,202.104
Namibia,NAM,2017,243.811
Nepal,NPL,2017,260.797
Netherlands,NLD,2017,109.361
New Zealand,NZL,2017,128.797
Nicaragua,NIC,2017,137.016
Niger,NER,2017,238.339
Nigeria,NGA,2017,181.013
North Africa and Middle East,"",2017,308.374
North America,"",2017,146.15
North Korea,PRK,2017,321.681
Northern Ireland,"",2017,125.856
Northern Mariana Islands,MNP,2017,194.994
Norway,NOR,2017,114.316
Oceania,"",2017,516.823
Oman,OMN,2017,266.342
Pakistan,PAK,2017,423.031
Palestine,PSE,2017,265.91
