iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
DMA,North America,Dominica,2021-05-07,174.0,0.0,0.0,,,0.0,2416.969,0.0,0.0,,,0.0,0.2,,,,,,,,,,,,,,,,,,27821.0,18498.0,9323.0,,848.0,38.65,25.69,12.95,11779.0,,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742
DOM,North America,Dominican Republic,2021-05-07,269958.0,774.0,485.286,3517.0,3.0,5.286,24885.729,71.35,44.735,324.21,0.277,0.487,0.98,,,,,,,,,4311.0,1423534.0,131.227,0.397,3020.0,0.278,0.13,7.7,samples tested,2264381.0,1456488.0,807893.0,67228.0,46983.0,20.87,13.43,7.45,4331.0,70.37,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756
ECU,South America,Ecuador,2021-05-07,396888.0,1561.0,2146.571,19061.0,43.0,61.429,22495.417,88.477,121.667,1080.368,2.437,3.482,1.14,,,,,,,,,106543.0,1360184.0,77.095,6.039,20416.0,1.157,0.108,9.3,people tested,1182085.0,924539.0,257546.0,40823.0,45813.0,6.7,5.24,1.46,2597.0,75.46,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.759
EGY,Africa,Egypt,2021-05-07,235140.0,1125.0,1084.0,13779.0,65.0,62.857,2297.761,10.993,10.593,134.647,0.635,0.614,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,102334403.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707
SLV,North America,El Salvador,2021-05-07,70255.0,258.0,151.0,2146.0,3.0,3.143,10831.456,39.777,23.28,330.856,0.463,0.485,1.26,,,,,,,,,,,,,,,,,,1114544.0,958828.0,155716.0,40656.0,34211.0,17.18,14.78,2.4,5274.0,26.85,6486201.0,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673
GNQ,Africa,Equatorial Guinea,2021-05-07,7694.0,0.0,0.0,112.0,0.0,0.0,5484.022,0.0,0.0,79.83,0.0,0.0,0.7,,,,,,,,,,,,,,,,,,75518.0,64646.0,10872.0,,3557.0,5.38,4.61,0.77,2535.0,,1402985.0,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.592
ERI,Africa,Eritrea,2021-05-07,3742.0,8.0,10.143,12.0,0.0,0.286,1055.146,2.256,2.86,3.384,0.0,0.081,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,64.81,3546427.0,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.459
EST,Europe,Estonia,2021-05-07,124529.0,382.0,358.571,1193.0,6.0,4.571,93875.114,287.967,270.306,899.333,4.523,3.446,0.91,53.0,39.954,340.0,256.306,40.925,30.851,217.6,164.036,4955.0,1323793.0,997.93,3.735,4368.0,3.293,0.081,12.3,tests performed,523902.0,369157.0,154745.0,13789.0,9211.0,39.49,27.83,11.67,6944.0,50.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
SWZ,Africa,Eswatini,2021-05-07,18474.0,1.0,2.286,671.0,0.0,0.0,15923.611,0.862,1.97,578.367,0.0,0.0,0.24,,,,,,,,,,,,,,,,,,34897.0,34897.0,,,491.0,3.01,3.01,,423.0,62.96,1160164.0,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611
ETH,Africa,Ethiopia,2021-05-07,261580.0,778.0,591.143,3840.0,18.0,21.714,2275.329,6.767,5.142,33.402,0.157,0.189,0.62,,,,,,,,,4914.0,2604376.0,22.654,0.043,4262.0,0.037,0.147,6.8,tests performed,1215934.0,,,21356.0,20636.0,1.06,,,180.0,43.52,114963583.0,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485
OWID_EUR,,Europe,2021-05-07,45614114.0,118314.0,107233.714,1033871.0,2740.0,2445.857,60926.043,158.03,143.23,1380.925,3.66,3.267,,,,,,,,,,,,,,,,,,,253357877.0,177498242.0,75674684.0,2848508.0,3691115.0,33.84,23.71,10.11,4930.0,,748680069.0,,,,,,,,,,,,,,
OWID_EUN,,European Union,2021-05-07,31374433.0,93243.0,86174.143,700691.0,1849.0,1685.0,70517.17,209.573,193.685,1574.873,4.156,3.787,,,,,,,,,,,,,,,,,,,168709306.0,121991243.0,47104146.0,2609141.0,2974569.0,37.92,27.42,10.59,6686.0,,444919060.0,,,,,,,,,,,,,,
FRO,Europe,Faeroe Islands,2021-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21128.0,14743.0,6385.0,976.0,111.0,43.24,30.17,13.07,2272.0,48.15,48865.0,35.308,,,,,,,,,,,,80.67,
FJI,Oceania,Fiji,2021-05-07,129.0,0.0,1.714,3.0,0.0,0.143,143.902,0.0,1.912,3.347,0.0,0.159,,,,,,,,,,1736.0,60054.0,66.991,1.937,1291.0,1.44,0.001,695.2,tests performed,,,,,,,,,,56.48,896444.0,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743
FIN,Europe,Finland,2021-05-07,88332.0,254.0,217.714,922.0,3.0,1.143,15942.338,45.842,39.294,166.404,0.541,0.206,0.85,31.0,5.595,126.0,22.741,,,,,21225.0,4615122.0,832.947,3.831,17127.0,3.091,0.012,86.1,tests performed,2108973.0,1903818.0,205155.0,96356.0,39709.0,38.06,34.36,3.7,7167.0,52.31,5540718.0,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938
FRA,Europe,France,2021-05-07,5808421.0,19138.0,18655.143,106262.0,251.0,226.714,85232.841,280.831,273.746,1559.29,3.683,3.327,0.84,5585.0,81.954,28818.0,422.876,2467.967,36.215,10508.599,154.203,479036.0,,,7.029,310009.0,4.549,0.069,14.5,people tested,24562204.0,17164131.0,7488938.0,600827.0,422716.0,36.04,25.19,10.99,6203.0,63.89,68147687.0,122.578,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
GAB,Africa,Gabon,2021-05-07,23311.0,110.0,33.714,142.0,2.0,0.429,10473.427,49.422,15.148,63.799,0.899,0.193,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,2225728.0,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703
GMB,Africa,Gambia,2021-05-07,5925.0,0.0,3.857,175.0,0.0,0.143,2451.727,0.0,1.596,72.414,0.0,0.059,0.8,,,,,,,,,727.0,65353.0,27.043,0.301,197.0,0.082,0.032,31.3,samples tested,20922.0,20922.0,,,279.0,0.87,0.87,,115.0,,2416664.0,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496
GEO,Asia,Georgia,2021-05-07,319266.0,1547.0,1279.429,4245.0,18.0,19.286,80033.09,387.799,320.725,1064.13,4.512,4.835,1.08,,,,,,,,,28000.0,4291000.0,1075.661,7.019,19286.0,4.835,0.066,15.2,tests performed,54687.0,54687.0,,3087.0,1336.0,1.37,1.37,,335.0,64.81,3989175.0,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812
DEU,Europe,Germany,2021-05-07,3517762.0,15090.0,16056.714,84659.0,234.0,223.143,41986.111,180.106,191.644,1010.444,2.793,2.663,0.94,5018.0,59.892,,,,,2490.346,29.723,,56767785.0,677.55,,191072.0,2.281,0.112,8.9,tests performed,34408840.0,26872478.0,7572228.0,814037.0,678069.0,41.07,32.07,9.04,8093.0,75.0,83783945.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947
GHA,Africa,Ghana,2021-05-07,92856.0,28.0,42.0,783.0,0.0,0.571,2988.323,0.901,1.352,25.199,0.0,0.018,0.96,,,,,,,,,3143.0,1095041.0,35.241,0.101,2777.0,0.089,0.022,44.7,samples tested,849527.0,849527.0,,,710.0,2.73,2.73,,23.0,50.93,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GIB,Europe,Gibraltar,2021-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73476.0,38454.0,35022.0,802.0,449.0,218.09,114.14,103.95,13327.0,,33691.0,3457.1,,,,,,,,,,,,79.93,
GRC,Europe,Greece,2021-05-07,358116.0,2671.0,1869.0,10910.0,63.0,75.571,34358.062,256.259,179.314,1046.718,6.044,7.25,0.8,,,,,319.93,30.694,,,33958.0,8244918.0,791.027,3.258,33761.0,3.239,0.049,20.5,samples tested,3535212.0,2391513.0,1143699.0,110744.0,62503.0,33.92,22.94,10.97,5997.0,,10423056.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888
GRL,North America,Greenland,2021-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14278.0,8994.0,5284.0,1.0,19.0,25.15,15.84,9.31,335.0,37.04,56772.0,0.137,,,,,,199.941,2.16,,,,,71.7,
GRD,North America,Grenada,2021-05-07,160.0,0.0,0.0,1.0,0.0,0.0,1421.982,0.0,0.0,8.887,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,17000.0,13000.0,4000.0,,229.0,15.11,11.55,3.55,2035.0,,112519.0,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779
GTM,North America,Guatemala,2021-05-07,233696.0,1257.0,860.714,7695.0,18.0,24.429,13044.298,70.162,48.043,429.515,1.005,1.364,0.96,,,,,,,,,7985.0,1291245.0,72.074,0.446,5781.0,0.323,0.165,6.1,people tested,191128.0,188671.0,2457.0,8796.0,3003.0,1.07,1.05,0.01,168.0,58.33,17915567.0,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663
GIN,Africa,Guinea,2021-05-07,22553.0,48.0,48.286,149.0,1.0,0.714,1717.304,3.655,3.677,11.346,0.076,0.054,0.98,,,,,,,,,,,,,,,,,,169529.0,114620.0,54909.0,18730.0,4034.0,1.29,0.87,0.42,307.0,57.41,13132792.0,51.755,19.0,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.477
GNB,Africa,Guinea-Bissau,2021-05-07,3739.0,1.0,0.714,67.0,0.0,0.0,1899.9,0.508,0.363,34.045,0.0,0.0,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967998.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48
GUY,South America,Guyana,2021-05-07,14073.0,116.0,112.857,314.0,4.0,2.571,17891.856,147.478,143.482,399.207,5.085,3.269,1.14,,,,,,,,,,,,,,,,,,126800.0,150694.0,2800.0,,4743.0,16.12,19.16,0.36,6030.0,60.19,786559.0,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682
HTI,North America,Haiti,2021-05-07,13164.0,0.0,15.429,263.0,0.0,1.286,1154.48,0.0,1.353,23.065,0.0,0.113,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,11402533.0,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64.0,0.51
HND,North America,Honduras,2021-05-07,218330.0,735.0,856.714,5585.0,83.0,43.429,22043.275,74.208,86.497,563.879,8.38,4.385,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7,75.27,0.634
HKG,Asia,Hong Kong,2021-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1662079.0,1038304.0,623775.0,37964.0,35471.0,22.17,13.85,8.32,4731.0,71.3,7496988.0,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86,0.949
HUN,Europe,Hungary,2021-05-07,789188.0,1541.0,1405.714,28403.0,106.0,123.286,81693.52,159.518,145.514,2940.163,10.973,12.762,0.66,,,5031.0,520.789,,,,,18647.0,5043362.0,522.068,1.93,17237.0,1.784,0.085,11.8,tests performed,6610557.0,4203873.0,2406684.0,142091.0,116587.0,68.43,43.52,24.91,12069.0,66.67,9660350.0,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854
ISL,Europe,Iceland,2021-05-07,6506.0,6.0,4.857,29.0,0.0,0.0,19065.201,17.582,14.233,84.982,0.0,0.0,0.77,,,5.0,14.652,,,3.749,10.985,1043.0,357132.0,1046.541,3.056,1188.0,3.481,0.004,244.6,tests performed,184304.0,138577.0,53658.0,17136.0,5578.0,54.01,40.61,15.72,16346.0,50.0,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949
IND,Asia,India,2021-05-07,21892676.0,401078.0,389672.429,238270.0,4187.0,3773.857,15864.208,290.635,282.37,172.659,3.034,2.735,1.23,,,,,,,,,1826490.0,298601699.0,216.377,1.324,1744230.0,1.264,0.222,4.5,samples tested,165190000.0,132294827.0,32895173.0,2586397.0,1884556.0,11.97,9.59,2.38,1366.0,73.61,1380004385.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645
IDN,Asia,Indonesia,2021-05-07,1703632.0,6327.0,5037.714,46663.0,167.0,163.143,6228.464,23.131,18.418,170.6,0.611,0.596,0.96,,,,,,,,,46635.0,10130714.0,37.038,0.17,44185.0,0.162,0.11,9.1,people tested,21666868.0,13180814.0,8486054.0,299114.0,228333.0,7.92,4.82,3.1,835.0,68.98,273523621.0,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718
OWID_INT,,International,2021-05-07,721.0,0.0,0.0,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRN,Asia,Iran,2021-05-07,2627094.0,17076.0,18288.143,74241.0,335.0,354.714,31277.553,203.303,217.734,883.896,3.988,4.223,0.85,,,,,,,,,121490.0,16789338.0,199.89,1.446,136910.0,1.63,0.136,7.4,tests performed,1485287.0,1231652.0,253635.0,65532.0,59595.0,1.77,1.47,0.3,710.0,81.48,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783
IRQ,Asia,Iraq,2021-05-07,1103950.0,5763.0,5535.857,15702.0,29.0,33.857,27446.079,143.278,137.631,390.378,0.721,0.842,0.85,,,,,,,,,40115.0,9524638.0,236.799,0.997,39985.0,0.994,0.143,7.0,samples tested,,,,,,,,,,,40222503.0,88.125,20.0,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674
IRL,Europe,Ireland,2021-05-07,251904.0,430.0,433.429,4918.0,-3.0,2.143,51015.473,87.083,87.778,995.991,-0.608,0.434,1.03,41.0,8.303,127.0,25.72,7.957,1.611,44.758,9.064,18847.0,4618713.0,935.379,3.817,17693.0,3.583,0.025,40.4,tests performed,1746912.0,1267167.0,479745.0,33996.0,31000.0,35.38,25.66,9.72,6278.0,77.78,4937796.0,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,82.3,0.955
IMN,Europe,Isle of Man,2021-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75013.0,59217.0,15796.0,798.0,342.0,88.22,69.64,18.58,4022.0,,85032.0,147.872,,,,,,,,,,,,81.4,
ISR,Asia,Israel,2021-05-07,838858.0,30.0,53.857,6375.0,1.0,1.714,96915.721,3.466,6.222,736.522,0.116,0.198,0.63,55.0,6.354,148.0,17.099,39.0,4.506,58.0,6.701,31547.0,16325578.0,1886.142,3.645,32000.0,3.697,0.002,532.1,tests performed,10493027.0,5418985.0,5074042.0,3827.0,6279.0,121.23,62.61,58.62,725.0,43.52,8655541.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919
ITA,Europe,Italy,2021-05-07,4092747.0,10549.0,10013.429,122470.0,207.0,237.571,67691.42,174.474,165.616,2025.576,3.424,3.929,0.85,2524.0,41.745,20869.0,345.16,,,3380.871,55.917,324640.0,60203970.0,995.735,5.369,280427.0,4.638,0.037,26.9,tests performed,23162051.0,16239001.0,7065634.0,505056.0,446755.0,38.31,26.86,11.69,7389.0,75.0,60461828.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892
JAM,North America,Jamaica,2021-05-07,46428.0,90.0,121.429,801.0,3.0,3.286,15678.985,30.393,41.007,270.502,1.013,1.11,0.81,,,,,,,,,1325.0,337769.0,114.066,0.447,1331.0,0.449,0.094,10.6,samples tested,,,,,,,,,,74.07,2961161.0,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734
JPN,Asia,Japan,2021-05-07,628319.0,6046.0,5007.857,10712.0,146.0,73.286,4967.873,47.803,39.595,84.696,1.154,0.579,1.02,,,,,,,,,89586.0,11552571.0,91.342,0.708,56805.0,0.449,0.085,11.8,people tested,4197463.0,3091529.0,1105934.0,360618.0,101106.0,3.32,2.44,0.87,799.0,38.43,126476458.0,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919
JEY,Europe,Jersey,2021-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88404.0,52891.0,35513.0,,809.0,87.47,52.33,35.14,8004.0,,101073.0,,,,,,,,,,,,,,
JOR,Asia,Jordan,2021-05-07,718632.0,702.0,1037.0,9047.0,33.0,30.143,70432.436,68.802,101.635,886.688,3.234,2.954,0.63,,,,,,,,,17877.0,6781275.0,664.626,1.752,16126.0,1.58,0.077,13.0,tests performed,1091048.0,805020.0,286028.0,,29814.0,10.69,7.89,2.8,2922.0,70.37,10203140.0,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729
KAZ,Asia,Kazakhstan,2021-05-07,393639.0,2587.0,2585.714,3369.0,0.0,5.0,20964.219,137.777,137.709,179.424,0.0,0.266,1.02,,,,,,,,,50371.0,10455458.0,556.831,2.683,46726.0,2.489,0.056,17.8,tests performed,2158924.0,1634939.0,523985.0,256233.0,75592.0,11.5,8.71,2.79,4026.0,62.96,18776707.0,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825
KEN,Africa,Kenya,2021-05-07,162666.0,568.0,478.286,2865.0,15.0,20.143,3025.145,10.563,8.895,53.281,0.279,0.375,0.74,,,,,,,,,1779.0,1675310.0,31.156,0.033,4046.0,0.075,0.12,8.3,samples tested,853081.0,853081.0,,,14659.0,1.59,1.59,,273.0,73.15,53771300.0,87.324,20.0,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601
OWID_KOS,Europe,Kosovo,2021-05-07,105784.0,170.0,306.571,2207.0,4.0,10.429,54731.697,87.956,158.617,1141.882,2.07,5.396,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,49.07,1932774.0,168.155,,,,9795.834,0.6,,,,,,,,
KWT,Asia,Kuwait,2021-05-07,282981.0,1209.0,1284.286,1628.0,7.0,9.286,66263.16,283.101,300.73,381.214,1.639,2.174,0.96,,,,,,,,,9428.0,2370265.0,555.024,2.208,8979.0,2.103,0.149,6.7,tests performed,1440000.0,,,,39556.0,33.72,,,9262.0,70.37,4270563.0,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37.0,,2.0,75.49,0.806
KGZ,Asia,Kyrgyzstan,2021-05-07,97663.0,385.0,341.143,1643.0,3.0,5.571,14969.366,59.011,52.289,251.832,0.46,0.854,1.16,,,,,,,,,,,,,,,,,,27858.0,27000.0,858.0,,1610.0,0.43,0.41,0.01,247.0,54.63,6524191.0,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697
LAO,Asia,Laos,2021-05-07,1205.0,28.0,64.0,,,0.0,165.623,3.849,8.797,,,0.0,,,,,,,,,,,,,,,,,,,184387.0,126072.0,58315.0,709.0,6766.0,2.53,1.73,0.8,930.0,86.11,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,67.92,0.613
LVA,Europe,Latvia,2021-05-07,122545.0,1036.0,569.571,2197.0,19.0,9.429,64969.181,549.252,301.967,1164.775,10.073,4.999,0.94,,,550.0,291.591,139.413,73.912,455.811,241.655,18511.0,2316448.0,1228.102,9.814,10078.0,5.343,0.054,18.4,tests performed,378032.0,303106.0,75559.0,13607.0,9057.0,20.04,16.07,4.01,4802.0,56.48,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.866
LBN,Asia,Lebanon,2021-05-07,531834.0,600.0,750.857,7436.0,21.0,22.571,77919.349,87.906,110.009,1089.453,3.077,3.307,0.7,,,,,,,,,,4069394.0,596.21,,,,,,tests performed,509705.0,325383.0,184322.0,8721.0,6935.0,7.47,4.77,2.7,1016.0,74.07,6825442.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744
LSO,Africa,Lesotho,2021-05-07,10761.0,12.0,4.286,319.0,0.0,0.429,5023.219,5.602,2.001,148.909,0.0,0.2,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527
LBR,Africa,Liberia,2021-05-07,2114.0,1.0,2.143,85.0,0.0,0.0,417.978,0.198,0.424,16.806,0.0,0.0,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,5057677.0,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48
LBY,Africa,Libya,2021-05-07,179697.0,504.0,312.714,3063.0,4.0,4.857,26151.869,73.349,45.51,445.768,0.582,0.707,0.8,,,,,,,,,2952.0,,,0.43,,,,,samples tested,,,,,,,,,,,6871287.0,3.623,29.0,4.424,2.816,17881.509,,341.862,10.43,,,,3.7,72.91,0.724
LIE,Europe,Liechtenstein,2021-05-07,2963.0,2.0,5.286,58.0,1.0,0.143,77693.578,52.443,138.598,1520.833,26.221,3.746,0.9,,,,,,,,,232.0,41599.0,1090.778,6.083,208.0,5.454,0.035,28.6,tests performed,13829.0,9645.0,4184.0,280.0,230.0,36.26,25.29,10.97,6031.0,,38137.0,237.012,,,,,,,7.77,,,,2.397,82.49,0.919
LTU,Europe,Lithuania,2021-05-07,255384.0,1293.0,1159.286,4019.0,19.0,13.714,93812.16,474.968,425.849,1476.33,6.979,5.038,1.03,,,1138.0,418.03,72.098,26.484,236.756,86.969,18885.0,2936467.0,1078.675,6.937,19679.0,7.229,0.063,15.9,tests performed,1141028.0,759103.0,381925.0,30355.0,22306.0,41.91,27.88,14.03,8194.0,38.89,2722291.0,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.882
LUX,Europe,Luxembourg,2021-05-07,68153.0,133.0,135.429,801.0,0.0,0.714,108874.781,212.468,216.348,1279.602,0.0,1.141,0.91,29.0,46.328,95.0,151.763,,,,,8667.0,2702729.0,4317.624,13.846,7146.0,11.416,0.02,48.8,tests performed,227314.0,165376.0,61938.0,7063.0,5128.0,36.31,26.42,9.89,8192.0,53.7,625976.0,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916
MAC,Asia,Macao,2021-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114572.0,75191.0,39525.0,1824.0,1491.0,17.64,11.58,6.09,2296.0,23.15,649342.0,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,
MDG,Africa,Madagascar,2021-05-07,38641.0,304.0,232.429,701.0,6.0,8.286,1395.434,10.978,8.394,25.315,0.217,0.299,0.82,,,,,,,,,761.0,188510.0,6.808,0.027,982.0,0.035,0.234,4.3,tests performed,,,,,,,,,,,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528
MWI,Africa,Malawi,2021-05-07,34158.0,7.0,11.429,1152.0,0.0,0.571,1785.577,0.366,0.597,60.22,0.0,0.03,0.97,,,,,,,,,,,,,,,,,,311751.0,311751.0,,5783.0,3058.0,1.63,1.63,,160.0,45.37,19129955.0,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483
MYS,Asia,Malaysia,2021-05-07,432425.0,4498.0,3387.429,1632.0,22.0,18.0,13360.472,138.973,104.66,50.423,0.68,0.556,1.19,,,,,,,,,82834.0,9821638.0,303.455,2.559,69693.0,2.153,0.047,21.2,people tested,1707460.0,1045377.0,662083.0,12449.0,39908.0,5.28,3.23,2.05,1233.0,65.28,32365998.0,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81
MDV,Asia,Maldives,2021-05-07,34134.0,766.0,614.143,82.0,5.0,1.286,63147.73,1417.096,1136.161,151.7,9.25,2.379,1.53,,,,,,,,,4787.0,758314.0,1402.877,8.856,3833.0,7.091,0.135,7.4,samples tested,427228.0,300438.0,126790.0,3458.0,4193.0,79.04,55.58,23.46,7757.0,,540542.0,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55.0,95.803,,78.92,0.74
MLI,Africa,Mali,2021-05-07,14059.0,30.0,28.714,497.0,4.0,1.857,694.243,1.481,1.418,24.542,0.198,0.092,0.66,,,,,,,,,,,,,,,,,,49903.0,49903.0,,,1821.0,0.25,0.25,,90.0,48.15,20250834.0,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434
MLT,Europe,Malta,2021-05-07,30432.0,12.0,20.0,417.0,1.0,0.571,68922.564,27.178,45.296,944.424,2.265,1.294,0.89,,,,,0.858,1.943,18.878,42.755,1971.0,878041.0,1988.592,4.464,1789.0,4.052,0.011,87.0,tests performed,365902.0,114115.0,251787.0,6473.0,4923.0,82.87,25.84,57.02,11150.0,67.59,441539.0,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53,0.895
