iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
BHS,North America,Bahamas,2021-05-07,10773.0,62.0,45.714,212.0,1.0,1.857,27394.926,157.661,116.248,539.1,2.543,4.723,0.91,,,,,,,,,,,,,,,,,,25692.0,25692.0,,,541.0,6.53,6.53,,1376.0,59.72,393248.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814
BHR,Asia,Bahrain,2021-05-07,186403.0,1706.0,1352.714,674.0,4.0,4.0,109546.816,1002.596,794.974,396.102,2.351,2.351,1.08,,,,,,,,,17701.0,4189757.0,2462.27,10.403,15813.0,9.293,0.08,12.5,units unclear,1347062.0,780894.0,566168.0,12404.0,15985.0,79.17,45.89,33.27,9394.0,53.7,1701583.0,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2.0,77.29,0.852
BGD,Asia,Bangladesh,2021-05-07,770842.0,1682.0,1672.857,11833.0,37.0,54.714,4680.581,10.213,10.158,71.85,0.225,0.332,0.59,,,,,,,,,21585.0,5571860.0,33.833,0.131,18229.0,0.111,0.096,10.5,tests performed,9133278.0,5819854.0,3313424.0,102958.0,72561.0,5.55,3.53,2.01,441.0,88.89,164689383.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632
BRB,North America,Barbados,2021-05-07,3931.0,2.0,10.857,45.0,0.0,0.143,13679.181,6.96,37.781,156.592,0.0,0.497,1.2,,,,,,,,,,,,,,,,,,75296.0,75296.0,,148.0,195.0,26.2,26.2,,679.0,66.67,287371.0,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814
BLR,Europe,Belarus,2021-05-07,366305.0,1354.0,1081.0,2612.0,10.0,10.0,38765.219,143.291,114.4,276.422,1.058,1.058,0.94,,,,,,,,,19354.0,5958089.0,630.531,2.048,15709.0,1.662,0.07,14.2,tests performed,,,,,,,,,,19.44,9449321.0,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.823
BEL,Europe,Belgium,2021-05-07,1010987.0,3723.0,2965.429,24483.0,39.0,36.143,87232.14,321.236,255.869,2112.494,3.365,3.119,0.94,825.0,71.184,2648.0,228.48,,,1356.865,117.076,58282.0,12819930.0,1106.157,5.029,48958.0,4.224,0.067,14.9,tests performed,4490660.0,3448561.0,1059852.0,93072.0,84224.0,38.75,29.76,9.14,7267.0,54.63,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BLZ,North America,Belize,2021-05-07,12686.0,4.0,2.571,323.0,0.0,0.0,31904.754,10.06,6.467,812.331,0.0,0.0,0.85,,,,,,,,,,,,,,,,,,46659.0,46659.0,,592.0,581.0,11.73,11.73,,1461.0,50.93,397621.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716
BEN,Africa,Benin,2021-05-07,7884.0,0.0,9.0,100.0,0.0,0.143,650.323,0.0,0.742,8.249,0.0,0.012,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,12123198.0,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545
BMU,North America,Bermuda,2021-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58193.0,32877.0,25216.0,,400.0,93.45,52.79,40.49,6423.0,70.37,62273.0,1308.82,,,,50669.315,,139.547,13.0,,,,,82.59,
BTN,Asia,Bhutan,2021-05-07,1190.0,29.0,16.571,1.0,0.0,0.0,1542.226,37.584,21.476,1.296,0.0,0.0,1.28,,,,,,,,,1745.0,720018.0,933.135,2.261,2942.0,3.813,0.005,216.8,samples tested,481400.0,481400.0,,293.0,140.0,62.39,62.39,,181.0,,771612.0,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654
BOL,South America,Bolivia,2021-05-07,314190.0,0.0,1494.0,13151.0,0.0,28.571,26915.893,0.0,127.987,1126.614,0.0,2.448,1.08,,,,,,,,,894417.0,1203401.0,103.092,76.623,10352.0,0.887,0.12,8.3,tests performed,878563.0,637694.0,240869.0,39098.0,27130.0,7.53,5.46,2.06,2324.0,27.78,11673029.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718
BIH,Europe,Bosnia and Herzegovina,2021-05-07,200693.0,340.0,318.857,8790.0,28.0,34.143,61171.691,103.633,97.188,2679.212,8.534,10.407,0.72,,,,,,,,,2561.0,922568.0,281.201,0.781,2216.0,0.675,0.155,6.5,tests performed,106464.0,83260.0,23204.0,,5081.0,3.25,2.54,0.71,1549.0,45.37,3280815.0,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78
BWA,Africa,Botswana,2021-05-07,48417.0,0.0,211.857,734.0,0.0,3.143,20588.742,0.0,90.09,312.125,0.0,1.336,1.14,,,,,,,,,,,,,,,,,,49882.0,49882.0,,,389.0,2.12,2.12,,165.0,,2351625.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735
BRA,South America,Brazil,2021-05-07,15082449.0,78886.0,60491.143,419114.0,2165.0,2190.429,70956.393,371.124,284.585,1971.75,10.185,10.305,0.98,,,,,,,,,,,,,,,,,,46875460.0,31722544.0,15152916.0,333068.0,596657.0,22.05,14.92,7.13,2807.0,60.65,212559409.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765
BRN,Asia,Brunei,2021-05-07,229.0,1.0,0.714,3.0,0.0,0.0,523.449,2.286,1.633,6.857,0.0,0.0,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,40.74,437483.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838
BGR,Europe,Bulgaria,2021-05-07,409495.0,1123.0,730.714,16886.0,86.0,69.571,58933.33,161.619,105.162,2430.184,12.377,10.013,0.64,670.0,96.424,6790.0,977.197,,,,,14933.0,2556505.0,367.925,2.149,9038.0,1.301,0.073,13.6,tests performed,922371.0,638468.0,283903.0,38117.0,15273.0,13.27,9.19,4.09,2198.0,50.93,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816
BFA,Africa,Burkina Faso,2021-05-07,13353.0,0.0,6.143,162.0,0.0,0.714,638.799,0.0,0.294,7.75,0.0,0.034,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,20903278.0,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452
BDI,Africa,Burundi,2021-05-07,4132.0,39.0,19.571,6.0,0.0,0.0,347.496,3.28,1.646,0.505,0.0,0.0,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,15.74,11890781.0,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433
KHM,Asia,Cambodia,2021-05-07,18179.0,558.0,682.429,114.0,0.0,3.0,1087.328,33.375,40.818,6.819,0.0,0.179,1.44,,,,,,,,,,,,,,,,,,2765622.0,1663249.0,1102373.0,78931.0,68691.0,16.54,9.95,6.59,4109.0,72.69,16718971.0,90.672,25.6,4.412,2.385,3645.07,,270.892,4.0,2.0,33.7,66.229,0.8,69.82,0.594
CMR,Africa,Cameroon,2021-05-07,74946.0,0.0,385.143,1152.0,0.0,6.429,2823.265,0.0,14.509,43.397,0.0,0.242,0.42,,,,,,,,,,,,,,,,,,11000.0,11000.0,,,624.0,0.04,0.04,,24.0,37.96,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563
CAN,North America,Canada,2021-05-07,1281846.0,7640.0,7639.857,24523.0,44.0,43.286,33963.242,202.426,202.422,649.751,1.166,1.147,0.99,1425.0,37.756,4066.0,107.731,,,,,138592.0,32266260.0,854.913,3.672,134441.0,3.562,0.057,17.4,tests performed,15325183.0,14104164.0,1221019.0,400489.0,272141.0,40.6,37.37,3.24,7211.0,75.46,37742157.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929
CPV,Africa,Cape Verde,2021-05-07,25837.0,311.0,279.286,231.0,1.0,2.0,46470.427,559.365,502.323,415.477,1.799,3.597,1.17,,,,,,,,,1707.0,,,3.07,,,,,tests performed,,,,,,,,,,59.26,555988.0,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665
CYM,North America,Cayman Islands,2021-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69772.0,37470.0,32302.0,,583.0,106.17,57.01,49.15,8871.0,,65720.0,256.496,,,,49903.029,,,13.22,,,,,83.92,
CAF,Africa,Central African Republic,2021-05-07,6674.0,0.0,37.571,93.0,0.0,0.714,1381.848,0.0,7.779,19.256,0.0,0.148,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,4829764.0,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1.0,53.28,0.397
TCD,Africa,Chad,2021-05-07,4862.0,8.0,6.429,170.0,0.0,0.0,295.997,0.487,0.391,10.35,0.0,0.0,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,16425859.0,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398
CHL,South America,Chile,2021-05-07,1235778.0,6530.0,5361.857,27004.0,109.0,93.0,64645.558,341.595,280.487,1412.623,5.702,4.865,0.9,,,,,,,,,62816.0,13366644.0,699.231,3.286,55261.0,2.891,0.102,9.8,tests performed,15526627.0,8456742.0,7069885.0,150569.0,104806.0,81.22,44.24,36.98,5483.0,84.72,19116209.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851
CHN,Asia,China,2021-05-07,102596.0,10.0,14.571,4846.0,0.0,0.143,71.281,0.007,0.01,3.367,0.0,0.0,0.8,,,,,,,,,,,,,,,,,,308226000.0,,,10492000.0,6166000.0,21.41,,,4284.0,78.24,1439323774.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761
COL,South America,Colombia,2021-05-07,2968626.0,17525.0,15557.429,76867.0,453.0,449.571,58342.33,344.418,305.75,1510.665,8.903,8.835,0.94,,,,,,,,,74550.0,15160357.0,297.946,1.465,69323.0,1.362,0.247,4.0,tests performed,5220330.0,3454250.0,1766080.0,107636.0,109866.0,10.26,6.79,3.47,2159.0,88.89,50882884.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767
COM,Africa,Comoros,2021-05-07,3854.0,7.0,2.857,146.0,0.0,0.0,4431.948,8.05,3.286,167.894,0.0,0.0,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,869595.0,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554
COG,Africa,Congo,2021-05-07,11147.0,131.0,67.0,148.0,1.0,0.571,2020.082,23.74,12.142,26.821,0.181,0.104,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574
