location,date,vaccine,total_vaccinations,source_url,people_vaccinated,people_fully_vaccinated
Argentina,2020-12-29,Sputnik V,700,https://www.argentina.gob.ar/noticias/ministros-de-salud-del-pais-celebran-el-inicio-de-la-vacunacion-contra-la-covid-19,,
Argentina,2020-12-31,Sputnik V,32013,https://www.argentina.gob.ar/sites/default/files/informe_seguridad_en_vacunas_31_12_2020.pdf,,
Argentina,2021-01-04,Sputnik V,39599,https://www.argentina.gob.ar/sites/default/files/informe_seguridad_en_vacunas_04_01_2021.pdf,,
Argentina,2021-01-08,Sputnik V,107542,https://www.argentina.gob.ar/noticias/ya-se-aplicaron-107542-dosis-de-la-vacuna-contra-covid-19-en-el-pais,,
Argentina,2021-01-13,Sputnik V,166833,https://www.argentina.gob.ar/noticias/continua-la-vacunacion-contra-el-virus-sars-cov-2-al-personal-de-salud,,
Argentina,2021-01-15,Sputnik V,200759,https://www.argentina.gob.ar/noticias/ya-se-aplicaron-200759-dosis-de-la-vacuna-contra-la-covid-19-en-argentina,,
Argentina,2021-01-20,Sputnik V,247933,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,243539.0,4394.0
Argentina,2021-01-21,Sputnik V,265724,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,249372.0,16352.0
Argentina,2021-01-22,Sputnik V,279602,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,254456.0,25146.0
Argentina,2021-01-23,Sputnik V,288064,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,258876.0,29188.0
Argentina,2021-01-24,Sputnik V,292023,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,260036.0,31987.0
Argentina,2021-01-25,Sputnik V,292386,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,260122.0,32264.0
Argentina,2021-01-26,Sputnik V,305880,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,266969.0,38911.0
Argentina,2021-01-27,Sputnik V,318033,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,272323.0,45710.0
