date,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,location,vaccine
2021-02-08,https://www.asgam.com/index.php/2021/02/11/macau-vaccinates-first-595-residents-as-more-than-4000-register/,0,,,Macao,Sinopharm/Beijing
2021-02-09,https://www.asgam.com/index.php/2021/02/11/macau-vaccinates-first-595-residents-as-more-than-4000-register/,595,,,Macao,Sinopharm/Beijing
2021-02-17,https://www.macaubusiness.com/residents-will-be-resistant-to-vaccination-at-first-health-bureau-doctors-association-president/,2000,,,Macao,Sinopharm/Beijing
2021-02-22,https://www.gov.mo/zh-hant/news/366405/,3700,,,Macao,Sinopharm/Beijing
2021-02-24,https://www.gov.mo/zh-hant/news/366595/,9284,,,Macao,Sinopharm/Beijing
2021-02-25,https://www.gov.mo/zh-hant/news/366747/,10691,,,Macao,Sinopharm/Beijing
2021-02-26,https://www.gov.mo/zh-hant/news/366898/,11982,,,Macao,Sinopharm/Beijing
2021-02-28,https://www.gov.mo/zh-hant/news/366973/,14426,,,Macao,Sinopharm/Beijing
2021-03-01,https://www.gov.mo/zh-hant/news/367211/,15094,,,Macao,Sinopharm/Beijing
2021-03-02,https://www.gov.mo/zh-hant/news/367552/,16044,,,Macao,Sinopharm/Beijing
2021-03-03,https://www.gov.mo/zh-hant/news/367675/,17071,,,Macao,"Sinopharm/Beijing, Pfizer/BioNTech"
2021-03-04,https://www.gov.mo/zh-hant/news/367797/,18098,,,Macao,"Sinopharm/Beijing, Pfizer/BioNTech"
2021-03-05,https://www.gov.mo/zh-hant/news/367971/,19028,,,Macao,"Sinopharm/Beijing, Pfizer/BioNTech"
2021-03-06,https://www.gov.mo/zh-hant/news/367988/,20218,,,Macao,"Sinopharm/Beijing, Pfizer/BioNTech"
2021-03-07,https://www.gov.mo/zh-hant/news/368017/,21056,,,Macao,"Sinopharm/Beijing, Pfizer/BioNTech"
2021-03-08,https://www.gov.mo/zh-hant/news/368091/,21840,,,Macao,"Sinopharm/Beijing, Pfizer/BioNTech"
2021-03-09,https://www.gov.mo/zh-hant/news/368251/,22865,,,Macao,"Sinopharm/Beijing, Pfizer/BioNTech"
2021-03-10,https://www.gov.mo/zh-hant/news/368355/,24040,,,Macao,"Sinopharm/Beijing, Pfizer/BioNTech"
