date,total_vaccinations,people_vaccinated,people_fully_vaccinated,location,vaccine,source_url
2021-01-24,11385,8334,3051,Jersey,Pfizer/BioNTech,https://www.gov.je/Health/Coronavirus/Vaccine/Pages/VaccinationStatistics.aspx
2021-01-31,14838,11707,3131,Jersey,Pfizer/BioNTech,https://www.gov.je/Health/Coronavirus/Vaccine/Pages/VaccinationStatistics.aspx
2021-02-07,21007,17829,3178,Jersey,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.gov.je/Health/Coronavirus/Vaccine/Pages/VaccinationStatistics.aspx
2021-02-14,25952,22696,3256,Jersey,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.gov.je/Health/Coronavirus/Vaccine/Pages/VaccinationStatistics.aspx
2021-02-21,29312,26025,3287,Jersey,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.gov.je/Health/Coronavirus/Vaccine/Pages/VaccinationStatistics.aspx
2021-02-28,33511,30191,3320,Jersey,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.gov.je/Health/Coronavirus/Vaccine/Pages/VaccinationStatistics.aspx
2021-03-07,39428,36049,3379,Jersey,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.gov.je/Health/Coronavirus/Vaccine/Pages/VaccinationStatistics.aspx
2021-03-10,42231,38073,4158,Jersey,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.gov.je/Health/Coronavirus/Vaccine/Pages/VaccinationStatistics.aspx
2021-03-14,45758,40137,5621,Jersey,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.gov.je/Health/Coronavirus/Vaccine/Pages/VaccinationStatistics.aspx
2021-03-17,48732,41741,6991,Jersey,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.gov.je/Health/Coronavirus/Vaccine/Pages/VaccinationStatistics.aspx
2021-03-21,52265,43136,9129,Jersey,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.gov.je/Health/Coronavirus/Vaccine/Pages/VaccinationStatistics.aspx
2021-03-24,55114,43630,11484,Jersey,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.gov.je/Health/Coronavirus/Vaccine/Pages/VaccinationStatistics.aspx
2021-03-28,59132,44318,14814,Jersey,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.gov.je/Health/Coronavirus/Vaccine/Pages/VaccinationStatistics.aspx
2021-03-31,62126,44526,17600,Jersey,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.gov.je/Health/Coronavirus/Vaccine/Pages/VaccinationStatistics.aspx
2021-04-04,67760,44981,22779,Jersey,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.gov.je/Health/Coronavirus/Vaccine/Pages/VaccinationStatistics.aspx
2021-04-07,68095,45046,23049,Jersey,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.gov.je/Health/Coronavirus/Vaccine/Pages/VaccinationStatistics.aspx
