date,total_vaccinations,people_vaccinated,people_fully_vaccinated,location,source_url,vaccine
2021-01-29,3994,3993,1,Faeroe Islands,https://corona.fo/api,Pfizer/BioNTech
2021-02-06,4657,4051,606,Faeroe Islands,https://corona.fo/api,Pfizer/BioNTech
2021-02-08,4783,4098,685,Faeroe Islands,https://corona.fo/api,Pfizer/BioNTech
2021-02-10,5355,4134,1221,Faeroe Islands,https://corona.fo/api,Pfizer/BioNTech
2021-02-21,5682,4167,1515,Faeroe Islands,https://corona.fo/api,Pfizer/BioNTech
2021-02-23,6259,4172,2087,Faeroe Islands,https://corona.fo/api,Pfizer/BioNTech
2021-02-24,6713,4190,2523,Faeroe Islands,https://corona.fo/api,Pfizer/BioNTech
2021-03-03,7041,4211,2830,Faeroe Islands,https://corona.fo/api,Pfizer/BioNTech
2021-03-04,7394,4238,3156,Faeroe Islands,https://corona.fo/api,Pfizer/BioNTech
2021-03-05,7563,4251,3312,Faeroe Islands,https://corona.fo/api,Pfizer/BioNTech
2021-03-06,7925,4251,3674,Faeroe Islands,https://corona.fo/api,Pfizer/BioNTech
2021-03-08,8068,4260,3808,Faeroe Islands,https://corona.fo/api,"Moderna, Pfizer/BioNTech"
2021-03-12,8832,4901,3931,Faeroe Islands,https://corona.fo/api,"Moderna, Pfizer/BioNTech"
2021-03-16,8967,4988,3979,Faeroe Islands,https://corona.fo/api,"Moderna, Pfizer/BioNTech"
2021-03-17,9170,5173,3997,Faeroe Islands,https://corona.fo/api,"Moderna, Pfizer/BioNTech"
2021-03-18,9342,5309,4033,Faeroe Islands,https://corona.fo/api,"Moderna, Pfizer/BioNTech"
2021-03-22,9427,5388,4039,Faeroe Islands,https://corona.fo/api,"Moderna, Pfizer/BioNTech"
2021-03-26,9660,5586,4074,Faeroe Islands,https://corona.fo/api,"Moderna, Pfizer/BioNTech"
2021-03-27,9959,5853,4106,Faeroe Islands,https://corona.fo/api,"Moderna, Pfizer/BioNTech"
2021-03-30,10770,6641,4129,Faeroe Islands,https://corona.fo/api,"Moderna, Pfizer/BioNTech"
2021-04-08,11494,7345,4149,Faeroe Islands,https://corona.fo/api,"Moderna, Pfizer/BioNTech"
2021-04-12,12629,8382,4247,Faeroe Islands,https://corona.fo/api,"Moderna, Pfizer/BioNTech"
2021-04-13,13131,8874,4257,Faeroe Islands,https://corona.fo/api,"Moderna, Pfizer/BioNTech"
