location,date,people_fully_vaccinated,total_vaccinations,people_vaccinated,source_url,vaccine
Liechtenstein,2020-12-23,0,0,0,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,Pfizer/BioNTech
Liechtenstein,2020-12-24,0,0,0,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,Pfizer/BioNTech
Liechtenstein,2020-12-25,0,0,0,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,Pfizer/BioNTech
Liechtenstein,2020-12-26,0,0,0,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,Pfizer/BioNTech
Liechtenstein,2020-12-27,0,0,0,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,Pfizer/BioNTech
Liechtenstein,2020-12-28,0,0,0,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,Pfizer/BioNTech
Liechtenstein,2020-12-29,0,0,0,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,Pfizer/BioNTech
Liechtenstein,2020-12-30,0,0,0,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,Pfizer/BioNTech
Liechtenstein,2020-12-31,0,0,0,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,Pfizer/BioNTech
Liechtenstein,2021-01-01,0,0,0,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,Pfizer/BioNTech
Liechtenstein,2021-01-02,0,0,0,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,Pfizer/BioNTech
Liechtenstein,2021-01-03,0,0,0,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,Pfizer/BioNTech
Liechtenstein,2021-01-04,0,2,2,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,Pfizer/BioNTech
Liechtenstein,2021-01-05,0,2,2,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,Pfizer/BioNTech
Liechtenstein,2021-01-06,0,5,5,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,Pfizer/BioNTech
Liechtenstein,2021-01-07,0,6,6,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,Pfizer/BioNTech
Liechtenstein,2021-01-08,0,6,6,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,Pfizer/BioNTech
Liechtenstein,2021-01-09,0,6,6,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,Pfizer/BioNTech
Liechtenstein,2021-01-10,0,6,6,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,Pfizer/BioNTech
Liechtenstein,2021-01-11,0,6,6,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,Pfizer/BioNTech
Liechtenstein,2021-01-12,0,11,11,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,Pfizer/BioNTech
Liechtenstein,2021-01-13,0,11,11,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,Pfizer/BioNTech
Liechtenstein,2021-01-14,0,11,11,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,Pfizer/BioNTech
Liechtenstein,2021-01-15,0,11,11,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,Pfizer/BioNTech
Liechtenstein,2021-01-16,0,11,11,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,Pfizer/BioNTech
Liechtenstein,2021-01-17,0,11,11,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,Pfizer/BioNTech
Liechtenstein,2021-01-18,0,116,116,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,Pfizer/BioNTech
Liechtenstein,2021-01-19,0,191,191,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,Pfizer/BioNTech
Liechtenstein,2021-01-20,0,247,247,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,Pfizer/BioNTech
Liechtenstein,2021-01-21,0,313,313,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,Pfizer/BioNTech
Liechtenstein,2021-01-22,0,343,343,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,Pfizer/BioNTech
Liechtenstein,2021-01-23,0,343,343,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,Pfizer/BioNTech
Liechtenstein,2021-01-24,0,343,343,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,Pfizer/BioNTech
Liechtenstein,2021-01-25,0,418,418,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,Pfizer/BioNTech
Liechtenstein,2021-01-26,0,463,463,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,Pfizer/BioNTech
Liechtenstein,2021-01-27,0,463,463,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,Pfizer/BioNTech
Liechtenstein,2021-01-28,0,651,651,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,Pfizer/BioNTech
Liechtenstein,2021-01-29,0,841,841,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,"Moderna, Pfizer/BioNTech"
Liechtenstein,2021-01-30,0,841,841,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,"Moderna, Pfizer/BioNTech"
Liechtenstein,2021-01-31,0,841,841,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,"Moderna, Pfizer/BioNTech"
Liechtenstein,2021-02-01,0,841,841,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,"Moderna, Pfizer/BioNTech"
Liechtenstein,2021-02-02,0,841,841,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,"Moderna, Pfizer/BioNTech"
Liechtenstein,2021-02-03,5,846,841,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,"Moderna, Pfizer/BioNTech"
Liechtenstein,2021-02-04,5,846,841,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,"Moderna, Pfizer/BioNTech"
