date,total_vaccinations,people_vaccinated,people_fully_vaccinated,location,source_url,vaccine
2021-03-29,25766,15600,10166,Aruba,https://www.facebook.com/desparuba/photos/4207469465939008,Pfizer/BioNTech
2021-04-10,41096,29197,11899,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-04-12,43073,31139,11934,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-04-13,45588,33563,12025,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-04-14,48200,36058,12142,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-04-15,50546,37981,12565,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-04-16,52955,39961,12994,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-04-17,55582,41770,13812,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-04-18,55651,41837,13814,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-04-19,58178,43266,14912,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-04-20,60379,43945,16434,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-04-21,62342,44421,17921,Aruba,https://www.facebook.com/desparuba/photos/a.657791820906808/4277983492220938,Pfizer/BioNTech
2021-04-22,64288,45097,19191,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-04-23,67950,48061,19889,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-04-24,69279,49351,19928,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-04-25,73103,53161,19942,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-04-26,73360,53244,20116,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-04-28,74668,53813,20855,Aruba,https://www.government.aw,Pfizer/BioNTech
2021-04-29,75846,54095,21751,Aruba,https://www.government.aw,Pfizer/BioNTech
