date,vaccine,total_vaccinations,location
2021-03-06,Pfizer/BioNTech,230460,Lithuania
2021-03-07,Pfizer/BioNTech,230461,Lithuania
2021-03-08,Pfizer/BioNTech,232191,Lithuania
2021-03-08,Moderna,21679,Lithuania
2021-03-08,Oxford/AstraZeneca,53572,Lithuania
2021-03-09,Moderna,22643,Lithuania
2021-03-09,Oxford/AstraZeneca,56328,Lithuania
2021-03-09,Pfizer/BioNTech,240360,Lithuania
2021-03-10,Moderna,22836,Lithuania
2021-03-10,Oxford/AstraZeneca,62369,Lithuania
2021-03-10,Pfizer/BioNTech,249758,Lithuania
2021-03-11,Pfizer/BioNTech,250538,Lithuania
2021-03-11,Oxford/AstraZeneca,62725,Lithuania
2021-03-12,Moderna,23090,Lithuania
2021-03-12,Oxford/AstraZeneca,68941,Lithuania
2021-03-12,Pfizer/BioNTech,261990,Lithuania
2021-03-13,Oxford/AstraZeneca,69229,Lithuania
2021-03-13,Pfizer/BioNTech,263448,Lithuania
2021-03-14,Oxford/AstraZeneca,69237,Lithuania
2021-03-14,Pfizer/BioNTech,263464,Lithuania
2021-03-15,Moderna,23190,Lithuania
2021-03-15,Oxford/AstraZeneca,74994,Lithuania
2021-03-15,Pfizer/BioNTech,265649,Lithuania
2021-03-16,Moderna,23392,Lithuania
2021-03-16,Oxford/AstraZeneca,78324,Lithuania
2021-03-16,Pfizer/BioNTech,272317,Lithuania
2021-03-17,Oxford/AstraZeneca,78417,Lithuania
2021-03-17,Pfizer/BioNTech,282651,Lithuania
2021-03-17,Moderna,23498,Lithuania
2021-03-18,Pfizer/BioNTech,290873,Lithuania
2021-03-18,Moderna,23629,Lithuania
2021-03-18,Oxford/AstraZeneca,78444,Lithuania
2021-03-19,Moderna,25838,Lithuania
2021-03-19,Oxford/AstraZeneca,78968,Lithuania
2021-03-19,Pfizer/BioNTech,297386,Lithuania
2021-03-20,Moderna,26372,Lithuania
2021-03-20,Pfizer/BioNTech,297586,Lithuania
2021-03-21,Moderna,26374,Lithuania
2021-03-21,Pfizer/BioNTech,297616,Lithuania
2021-03-22,Pfizer/BioNTech,298733,Lithuania
2021-03-22,Moderna,31184,Lithuania
2021-03-22,Oxford/AstraZeneca,81258,Lithuania
2021-03-23,Moderna,32741,Lithuania
2021-03-23,Oxford/AstraZeneca,84023,Lithuania
2021-03-23,Pfizer/BioNTech,307253,Lithuania
2021-03-24,Pfizer/BioNTech,319140,Lithuania
2021-03-24,Moderna,33856,Lithuania
2021-03-24,Oxford/AstraZeneca,88610,Lithuania
2021-03-25,Pfizer/BioNTech,330615,Lithuania
2021-03-25,Moderna,34862,Lithuania
2021-03-25,Oxford/AstraZeneca,93048,Lithuania
2021-03-26,Moderna,36487,Lithuania
2021-03-26,Oxford/AstraZeneca,98601,Lithuania
2021-03-26,Pfizer/BioNTech,339839,Lithuania
2021-03-27,Moderna,36563,Lithuania
2021-03-27,Oxford/AstraZeneca,101420,Lithuania
2021-03-27,Pfizer/BioNTech,340090,Lithuania
2021-03-28,Oxford/AstraZeneca,101520,Lithuania
2021-03-28,Pfizer/BioNTech,340174,Lithuania
2021-03-29,Moderna,37985,Lithuania
2021-03-29,Oxford/AstraZeneca,106975,Lithuania
2021-03-29,Pfizer/BioNTech,341161,Lithuania
2021-03-30,Pfizer/BioNTech,351309,Lithuania
2021-03-30,Moderna,38167,Lithuania
2021-03-30,Oxford/AstraZeneca,109464,Lithuania
2021-03-31,Oxford/AstraZeneca,111516,Lithuania
2021-03-31,Pfizer/BioNTech,368497,Lithuania
2021-03-31,Moderna,39602,Lithuania
2021-04-01,Moderna,46859,Lithuania
2021-04-01,Oxford/AstraZeneca,114353,Lithuania
2021-04-01,Pfizer/BioNTech,376652,Lithuania
2021-04-02,Moderna,53358,Lithuania
2021-04-02,Oxford/AstraZeneca,120006,Lithuania
2021-04-02,Pfizer/BioNTech,384227,Lithuania
2021-04-03,Oxford/AstraZeneca,127711,Lithuania
2021-04-03,Pfizer/BioNTech,384989,Lithuania
2021-04-03,Moderna,53551,Lithuania
2021-04-04,Oxford/AstraZeneca,130114,Lithuania
2021-04-04,Pfizer/BioNTech,384995,Lithuania
2021-04-05,Moderna,53561,Lithuania
2021-04-05,Oxford/AstraZeneca,133624,Lithuania
2021-04-05,Pfizer/BioNTech,385189,Lithuania
2021-04-06,Pfizer/BioNTech,386622,Lithuania
2021-04-06,Moderna,56229,Lithuania
2021-04-06,Oxford/AstraZeneca,144203,Lithuania
2021-04-07,Pfizer/BioNTech,388163,Lithuania
2021-04-07,Moderna,57479,Lithuania
2021-04-07,Oxford/AstraZeneca,154139,Lithuania
2021-04-08,Moderna,58862,Lithuania
2021-04-08,Oxford/AstraZeneca,156858,Lithuania
2021-04-08,Pfizer/BioNTech,410924,Lithuania
2021-04-09,Moderna,59292,Lithuania
2021-04-09,Oxford/AstraZeneca,162086,Lithuania
2021-04-09,Pfizer/BioNTech,438577,Lithuania
2021-04-10,Moderna,59368,Lithuania
2021-04-10,Oxford/AstraZeneca,166262,Lithuania
2021-04-10,Pfizer/BioNTech,449912,Lithuania
2021-04-11,Pfizer/BioNTech,450955,Lithuania
2021-04-11,Moderna,59422,Lithuania
2021-04-11,Oxford/AstraZeneca,166880,Lithuania
2021-04-12,Oxford/AstraZeneca,170853,Lithuania
2021-04-12,Pfizer/BioNTech,455420,Lithuania
2021-04-12,Moderna,59716,Lithuania
2021-04-13,Pfizer/BioNTech,471262,Lithuania
2021-04-13,Moderna,60118,Lithuania
2021-04-13,Oxford/AstraZeneca,173374,Lithuania
2021-04-14,Moderna,60340,Lithuania
2021-04-14,Oxford/AstraZeneca,174356,Lithuania
2021-04-14,Pfizer/BioNTech,496589,Lithuania
2021-04-15,Moderna,60586,Lithuania
2021-04-15,Oxford/AstraZeneca,177650,Lithuania
2021-04-15,Pfizer/BioNTech,516138,Lithuania
2021-04-16,Moderna,60853,Lithuania
2021-04-16,Oxford/AstraZeneca,183868,Lithuania
2021-04-16,Pfizer/BioNTech,530011,Lithuania
2021-04-17,Moderna,60885,Lithuania
2021-04-17,Oxford/AstraZeneca,185018,Lithuania
2021-04-17,Pfizer/BioNTech,531307,Lithuania
2021-04-18,Oxford/AstraZeneca,185098,Lithuania
2021-04-18,Pfizer/BioNTech,531311,Lithuania
2021-04-19,Oxford/AstraZeneca,189062,Lithuania
2021-04-19,Pfizer/BioNTech,532730,Lithuania
2021-04-19,Moderna,61314,Lithuania
2021-04-20,Moderna,63061,Lithuania
2021-04-20,Oxford/AstraZeneca,190520,Lithuania
2021-04-20,Pfizer/BioNTech,544749,Lithuania
2021-04-21,Moderna,67194,Lithuania
2021-04-21,Oxford/AstraZeneca,191162,Lithuania
2021-04-21,Pfizer/BioNTech,566570,Lithuania
2021-04-22,Oxford/AstraZeneca,193255,Lithuania
2021-04-22,Moderna,71102,Lithuania
2021-04-22,Pfizer/BioNTech,586609,Lithuania
2021-04-23,Johnson&Johnson,1,Lithuania
2021-04-23,Moderna,72563,Lithuania
2021-04-23,Oxford/AstraZeneca,201056,Lithuania
2021-04-23,Pfizer/BioNTech,601882,Lithuania
2021-04-24,Oxford/AstraZeneca,202320,Lithuania
2021-04-24,Pfizer/BioNTech,603799,Lithuania
2021-04-24,Moderna,73912,Lithuania
2021-04-25,Pfizer/BioNTech,604041,Lithuania
2021-04-25,Oxford/AstraZeneca,202339,Lithuania
2021-04-25,Moderna,73913,Lithuania
2021-04-26,Johnson&Johnson,6,Lithuania
2021-04-26,Moderna,74720,Lithuania
2021-04-26,Oxford/AstraZeneca,206604,Lithuania
2021-04-26,Pfizer/BioNTech,605115,Lithuania
2021-04-27,Johnson&Johnson,15,Lithuania
2021-04-27,Moderna,75144,Lithuania
2021-04-27,Oxford/AstraZeneca,207955,Lithuania
2021-04-27,Pfizer/BioNTech,616352,Lithuania
2021-04-28,Johnson&Johnson,86,Lithuania
2021-04-28,Moderna,75715,Lithuania
2021-04-28,Oxford/AstraZeneca,208642,Lithuania
2021-04-28,Pfizer/BioNTech,630287,Lithuania
2021-04-29,Oxford/AstraZeneca,210784,Lithuania
2021-04-29,Pfizer/BioNTech,658426,Lithuania
2021-04-29,Johnson&Johnson,102,Lithuania
2021-04-29,Moderna,77790,Lithuania
2021-04-30,Johnson&Johnson,132,Lithuania
2021-04-30,Moderna,82110,Lithuania
2021-04-30,Oxford/AstraZeneca,212456,Lithuania
2021-04-30,Pfizer/BioNTech,689557,Lithuania
2021-05-01,Johnson&Johnson,147,Lithuania
2021-05-01,Moderna,82534,Lithuania
2021-05-01,Oxford/AstraZeneca,213289,Lithuania
2021-05-01,Pfizer/BioNTech,703825,Lithuania
2021-05-02,Pfizer/BioNTech,704563,Lithuania
2021-05-02,Oxford/AstraZeneca,213296,Lithuania
2021-05-03,Oxford/AstraZeneca,217988,Lithuania
2021-05-03,Pfizer/BioNTech,709797,Lithuania
2021-05-03,Johnson&Johnson,168,Lithuania
2021-05-03,Moderna,85739,Lithuania
2021-05-04,Oxford/AstraZeneca,221377,Lithuania
2021-05-04,Pfizer/BioNTech,730581,Lithuania
2021-05-04,Johnson&Johnson,267,Lithuania
2021-05-04,Moderna,88694,Lithuania
2021-05-05,Moderna,89989,Lithuania
2021-05-05,Oxford/AstraZeneca,224510,Lithuania
2021-05-05,Johnson&Johnson,373,Lithuania
2021-05-05,Pfizer/BioNTech,757799,Lithuania
