date,vaccine,total_vaccinations,location
2021-02-24,Pfizer/BioNTech,559980,Czechia
2021-02-24,Moderna,35493,Czechia
2021-02-25,Moderna,36670,Czechia
2021-02-25,Oxford/AstraZeneca,21087,Czechia
2021-02-25,Pfizer/BioNTech,577860,Czechia
2021-02-26,Moderna,37451,Czechia
2021-02-26,Oxford/AstraZeneca,24357,Czechia
2021-02-26,Pfizer/BioNTech,595047,Czechia
2021-02-27,Oxford/AstraZeneca,24969,Czechia
2021-02-27,Moderna,37622,Czechia
2021-02-27,Pfizer/BioNTech,597738,Czechia
2021-02-28,Moderna,37814,Czechia
2021-02-28,Oxford/AstraZeneca,25431,Czechia
2021-02-28,Pfizer/BioNTech,599950,Czechia
2021-03-01,Oxford/AstraZeneca,29346,Czechia
2021-03-01,Pfizer/BioNTech,617079,Czechia
2021-03-01,Moderna,39457,Czechia
2021-03-02,Oxford/AstraZeneca,38387,Czechia
2021-03-02,Pfizer/BioNTech,636409,Czechia
2021-03-02,Moderna,41312,Czechia
2021-03-03,Oxford/AstraZeneca,47832,Czechia
2021-03-03,Pfizer/BioNTech,658037,Czechia
2021-03-03,Moderna,45010,Czechia
2021-03-04,Moderna,49656,Czechia
2021-03-04,Oxford/AstraZeneca,56801,Czechia
2021-03-04,Pfizer/BioNTech,681642,Czechia
2021-03-05,Moderna,53229,Czechia
2021-03-05,Oxford/AstraZeneca,64953,Czechia
2021-03-05,Pfizer/BioNTech,703658,Czechia
2021-03-06,Moderna,54613,Czechia
2021-03-06,Oxford/AstraZeneca,69320,Czechia
2021-03-06,Pfizer/BioNTech,710672,Czechia
2021-03-07,Moderna,55886,Czechia
2021-03-07,Oxford/AstraZeneca,73473,Czechia
2021-03-07,Pfizer/BioNTech,717412,Czechia
2021-03-08,Oxford/AstraZeneca,81225,Czechia
2021-03-08,Pfizer/BioNTech,740802,Czechia
2021-03-08,Moderna,58955,Czechia
2021-03-09,Moderna,64214,Czechia
2021-03-09,Oxford/AstraZeneca,92123,Czechia
2021-03-09,Pfizer/BioNTech,766762,Czechia
2021-03-10,Moderna,69166,Czechia
2021-03-10,Oxford/AstraZeneca,102736,Czechia
2021-03-10,Pfizer/BioNTech,798882,Czechia
2021-03-11,Oxford/AstraZeneca,114238,Czechia
2021-03-11,Moderna,73424,Czechia
2021-03-11,Pfizer/BioNTech,835720,Czechia
2021-03-12,Moderna,78797,Czechia
2021-03-12,Oxford/AstraZeneca,126253,Czechia
2021-03-12,Pfizer/BioNTech,864943,Czechia
2021-03-13,Oxford/AstraZeneca,129208,Czechia
2021-03-13,Pfizer/BioNTech,878916,Czechia
2021-03-13,Moderna,80057,Czechia
2021-03-14,Oxford/AstraZeneca,130110,Czechia
2021-03-14,Pfizer/BioNTech,890018,Czechia
2021-03-14,Moderna,81189,Czechia
2021-03-15,Moderna,87946,Czechia
2021-03-15,Oxford/AstraZeneca,138020,Czechia
2021-03-15,Pfizer/BioNTech,912013,Czechia
2021-03-16,Moderna,97068,Czechia
2021-03-16,Oxford/AstraZeneca,146517,Czechia
2021-03-16,Pfizer/BioNTech,943211,Czechia
2021-03-17,Pfizer/BioNTech,974194,Czechia
2021-03-17,Oxford/AstraZeneca,155327,Czechia
2021-03-17,Moderna,104763,Czechia
2021-03-18,Moderna,111883,Czechia
2021-03-18,Oxford/AstraZeneca,164356,Czechia
2021-03-18,Pfizer/BioNTech,1007808,Czechia
2021-03-19,Moderna,117913,Czechia
2021-03-19,Oxford/AstraZeneca,172921,Czechia
2021-03-19,Pfizer/BioNTech,1040614,Czechia
2021-03-20,Pfizer/BioNTech,1054039,Czechia
2021-03-20,Oxford/AstraZeneca,175255,Czechia
2021-03-20,Moderna,119050,Czechia
2021-03-21,Moderna,119355,Czechia
2021-03-21,Oxford/AstraZeneca,175708,Czechia
2021-03-21,Pfizer/BioNTech,1062116,Czechia
2021-03-22,Moderna,123435,Czechia
2021-03-22,Oxford/AstraZeneca,182385,Czechia
2021-03-22,Pfizer/BioNTech,1087542,Czechia
2021-03-23,Moderna,127174,Czechia
2021-03-23,Oxford/AstraZeneca,189770,Czechia
2021-03-23,Pfizer/BioNTech,1115555,Czechia
2021-03-24,Pfizer/BioNTech,1145891,Czechia
2021-03-24,Moderna,131278,Czechia
2021-03-24,Oxford/AstraZeneca,197316,Czechia
2021-03-25,Oxford/AstraZeneca,204649,Czechia
2021-03-25,Pfizer/BioNTech,1178212,Czechia
2021-03-25,Moderna,135299,Czechia
2021-03-26,Pfizer/BioNTech,1211848,Czechia
2021-03-26,Moderna,137797,Czechia
2021-03-26,Oxford/AstraZeneca,210142,Czechia
2021-03-27,Moderna,139032,Czechia
2021-03-27,Oxford/AstraZeneca,210974,Czechia
