location,date,vaccine,total_vaccinations,people_vaccinated,source_url,people_fully_vaccinated
Moldova,2021-03-05,Oxford/AstraZeneca,3849,3849,https://msmps.gov.md/comunicare/comunicate/republica-moldova-este-prima-tara-din-regiunea-europeana-care-a-receptionat-vaccinul-impotriva-covid-19-prin-mecanismul-covax/,
Moldova,2021-03-10,Oxford/AstraZeneca,6447,6447,https://vaccinare.gov.md/,0.0
Moldova,2021-03-11,Oxford/AstraZeneca,8116,8116,https://vaccinare.gov.md/,0.0
Moldova,2021-03-12,Oxford/AstraZeneca,9341,9341,https://vaccinare.gov.md/,0.0
Moldova,2021-03-13,Oxford/AstraZeneca,11431,11431,https://vaccinare.gov.md/,0.0
Moldova,2021-03-15,Oxford/AstraZeneca,12754,12754,https://vaccinare.gov.md/,0.0
Moldova,2021-03-16,Oxford/AstraZeneca,14814,14814,https://vaccinare.gov.md/,0.0
Moldova,2021-03-17,Oxford/AstraZeneca,16131,16131,https://vaccinare.gov.md/,0.0
Moldova,2021-03-19,Oxford/AstraZeneca,18593,18593,https://vaccinare.gov.md/,0.0
Moldova,2021-03-21,Oxford/AstraZeneca,20494,20494,https://vaccinare.gov.md/,0.0
Moldova,2021-03-23,Oxford/AstraZeneca,21194,21194,https://vaccinare.gov.md/,0.0
Moldova,2021-03-24,Oxford/AstraZeneca,23454,23454,https://vaccinare.gov.md/,0.0
Moldova,2021-03-25,Oxford/AstraZeneca,27445,27445,https://vaccinare.gov.md/,0.0
Moldova,2021-03-26,Oxford/AstraZeneca,30722,30722,https://vaccinare.gov.md/,0.0
Moldova,2021-03-27,Oxford/AstraZeneca,33885,33885,https://vaccinare.gov.md/,0.0
Moldova,2021-03-31,Oxford/AstraZeneca,40321,40321,https://vaccinare.gov.md/,0.0
Moldova,2021-04-01,Oxford/AstraZeneca,42154,42154,https://vaccinare.gov.md/,0.0
Moldova,2021-04-04,Oxford/AstraZeneca,47524,47524,https://vaccinare.gov.md/,0.0
Moldova,2021-04-06,Oxford/AstraZeneca,51574,51574,https://vaccinare.gov.md/,0.0
Moldova,2021-04-07,Oxford/AstraZeneca,54907,54907,https://vaccinare.gov.md/,0.0
Moldova,2021-04-09,Oxford/AstraZeneca,57561,57561,https://vaccinare.gov.md/,0.0
Moldova,2021-04-11,Oxford/AstraZeneca,64179,64179,https://vaccinare.gov.md/,0.0
Moldova,2021-04-12,Oxford/AstraZeneca,67085,67085,https://vaccinare.gov.md/,0.0
Moldova,2021-04-13,Oxford/AstraZeneca,71780,71780,https://vaccinare.gov.md/,0.0
