date,people_vaccinated,people_fully_vaccinated,total_vaccinations,vaccine,location,source_url
2021-02-22,46,0,46,Sinovac,Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-02-23,578,0,578,Sinovac,Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-02-24,578,0,578,Sinovac,Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-02-25,578,0,578,Sinovac,Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-02-26,6644,0,6644,Sinovac,Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-02-27,13683,0,13683,Sinovac,Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-02-28,20699,0,20699,Sinovac,Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-01,27107,0,27107,Sinovac,Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-02,40173,0,40173,Sinovac,Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-03,51837,2,51839,Sinovac,Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-04,62225,2,62227,Sinovac,Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-05,72362,2,72364,Sinovac,Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-06,84011,3,84014,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-07,93005,4,93009,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-08,103828,4,103832,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-09,113501,5,113506,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-10,130524,6,130530,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-11,145885,6,145891,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-12,162208,6,162214,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-13,177085,7,177092,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-14,190702,7,190709,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-15,206065,7,206072,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-16,229390,7,229397,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-17,253988,7,253995,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-18,276615,7,276622,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-19,304221,7,304228,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-20,330586,7,330593,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-21,354407,7,354414,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-22,379617,50,379667,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-23,403056,444,403500,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
2021-03-24,412802,476,413278,"Pfizer/BioNTech, Sinovac",Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
