location,date,vaccine,total_vaccinations,people_vaccinated,source_url
Qatar,2020-12-22,Pfizer/BioNTech,0.0,,https://www.aljazeera.com/news/2020/12/23/qatar-begins-coronavirus-vaccination-campaign
Qatar,2021-01-28,Pfizer/BioNTech,50000.0,,https://www.gulf-times.com/story/683467/If-Covid-cases-increase-more-restrictions-may-be-e
Qatar,2021-02-17,Pfizer/BioNTech,,100000.0,https://www.gulf-times.com/story/684927/More-than-100-000-vaccinated-in-Qatar-so-far-says-
Qatar,2021-02-18,Pfizer/BioNTech,140000.0,,https://www.gulf-times.com/story/685040
Qatar,2021-03-07,Pfizer/BioNTech,327000.0,,https://twitter.com/MOPHQatar/status/1368573172711370756
Qatar,2021-03-10,Pfizer/BioNTech,380000.0,,https://twitter.com/QNAEnglish/status/1369767228703449106
Qatar,2021-03-16,Pfizer/BioNTech,510000.0,,https://twitter.com/QNAEnglish/status/1371853178195607558
Qatar,2021-03-21,Pfizer/BioNTech,594613.0,,https://covid19.moph.gov.qa/EN/Pages/default.aspx
Qatar,2021-03-22,Pfizer/BioNTech,615655.0,,https://covid19.moph.gov.qa/EN/Pages/default.aspx
Qatar,2021-03-23,Pfizer/BioNTech,637461.0,,https://covid19.moph.gov.qa/EN/Pages/default.aspx
Qatar,2021-03-24,Pfizer/BioNTech,658325.0,,https://covid19.moph.gov.qa/EN/Pages/default.aspx
