location,iso_code,year,handwashing_facilities
Afghanistan,AFG,2017,37.746
Algeria,DZA,2017,83.741
Angola,AGO,2017,26.664
Armenia,ARM,2017,94.043
Asia,"",2017,65.815
"Asia, Central","",2017,91.802
Azerbaijan,AZE,2017,83.241
Bangladesh,BGD,2017,34.808
Belize,BLZ,2017,90.083
Benin,BEN,2017,11.035
Bolivia,BOL,2017,25.383
Burkina Faso,BFA,2017,11.877
Burundi,BDI,2017,6.144
Cambodia,KHM,2017,66.229
Cameroon,CMR,2017,2.735
Caribbean,"",2017,54.952
Caucasus and Central Asia,"",2017,89.274
Central America,"",2017,86.524
Chad,TCD,2017,5.818
Colombia,COL,2017,65.386
Congo,COG,2017,47.964
Cote d'Ivoire,CIV,2017,19.351
Cuba,CUB,2017,85.198
Democratic Republic of Congo,COD,2017,4.472
Dominican Republic,DOM,2017,55.182
Eastern Africa,"",2017,20.595
Ecuador,ECU,2017,80.635
Egypt,EGY,2017,89.827
El Salvador,SLV,2017,90.65
Ethiopia,ETH,2017,7.96
Gambia,GMB,2017,7.876
Ghana,GHA,2017,41.047
Guatemala,GTM,2017,76.665
Guinea,GIN,2017,17.45
Guinea-Bissau,GNB,2017,6.403
Guyana,GUY,2017,77.159
Haiti,HTI,2017,22.863
India,IND,2017,59.55
Indonesia,IDN,2017,64.204
Iraq,IRQ,2017,94.576
Kazakhstan,KAZ,2017,98.999
Kenya,KEN,2017,24.651
Kyrgyzstan,KGZ,2017,89.22
Landlocked developing countries,"",2017,33.975
Laos,LAO,2017,49.839
Least Developed Countries (LDCs),"",2017,27.655
Lesotho,LSO,2017,2.117
Liberia,LBR,2017,1.188
Malawi,MWI,2017,8.704
Maldives,MDV,2017,95.803
Mali,MLI,2017,52.232
Marshall Islands,MHL,2017,82.502
Mauritania,MRT,2017,15.95
Mexico,MEX,2017,87.847
Middle Africa,"",2017,10.158
Mongolia,MNG,2017,71.18
Myanmar,MMR,2017,79.287
Namibia,NAM,2017,44.6
Nepal,NPL,2017,47.782
Nigeria,NGA,2017,41.949
Northern Africa,"",2017,74.212
Northern Africa (exc. Sudan),"",2017,84.871
Oman,OMN,2017,97.4
Pakistan,PAK,2017,59.607
Paraguay,PRY,2017,79.602
Philippines,PHL,2017,78.463
Rwanda,RWA,2017,4.617
Sao Tome and Principe,STP,2017,41.34
Senegal,SEN,2017,20.859
Sierra Leone,SLE,2017,19.275
Small Island Developing States (SIDS),"",2017,51.35
Solomon Islands,SLB,2017,35.89
Somalia,SOM,2017,9.831
South Africa,ZAF,2017,43.993
South Eastern Asia,"",2017,74.377
Southern Africa,"",2017,42.151
Southern Asia,"",2017,57.115
Sub-Saharan Africa,"",2017,25.016
Sub-Saharan Africa (inc. Sudan),"",2017,24.956
Sudan,SDN,2017,23.437
Eswatini,SWZ,2017,24.097
Syria,SYR,2017,70.598
Tajikistan,TJK,2017,72.704
Tanzania,TZA,2017,47.953
Thailand,THA,2017,90.67
Timor,TLS,2017,28.178
Togo,TGO,2017,10.475
Tunisia,TUN,2017,78.687
Turkmenistan,TKM,2017,100
Uganda,UGA,2017,21.222
Vanuatu,VUT,2017,25.209
Vietnam,VNM,2017,85.847
Western Africa,"",2017,33.563
World,OWID_WRL,2017,60.13
Yemen,YEM,2017,49.542
Zambia,ZMB,2017,13.938
Zimbabwe,ZWE,2017,36.791
Barbados,BRB,2016,88.469
Bosnia and Herzegovina,BIH,2016,97.164
Comoros,COM,2016,15.574
Honduras,HND,2016,84.169
Moldova,MDA,2016,86.979
Saint Lucia,LCA,2016,87.202
Costa Rica,CRI,2015,83.841
Equatorial Guinea,GNQ,2015,24.64
Jamaica,JAM,2015,66.425
Madagascar,MDG,2015,50.54
Mozambique,MOZ,2015,12.227
Trinidad and Tobago,TTO,2015,89.443
Bhutan,BTN,2014,79.807
Central African Republic,CAF,2014,16.603
Serbia,SRB,2014,97.719
Suriname,SUR,2014,67.779
Niger,NER,2010,8.978
