location,iso_code,year,aged_70_older
Afghanistan,AFG,2015,1.337
Africa,"",2015,2.041
Albania,ALB,2015,8.643
Algeria,DZA,2015,3.857
Angola,AGO,2015,1.362
Antigua and Barbuda,ATG,2015,4.631
Argentina,ARG,2015,7.441
Armenia,ARM,2015,7.571
Aruba,ABW,2015,7.452
Asia,"",2015,4.744
Australia,AUS,2015,10.129
Australia/New Zealand,"",2015,10.063
Austria,AUT,2015,13.748
Azerbaijan,AZE,2015,3.871
Bahamas,BHS,2015,5.2
Bahrain,BHR,2015,1.387
Bangladesh,BGD,2015,3.262
Barbados,BRB,2015,9.473
Belarus,BLR,2015,9.788
Belgium,BEL,2015,12.849
Belize,BLZ,2015,2.279
Benin,BEN,2015,1.942
Bhutan,BTN,2015,2.977
Bolivia,BOL,2015,4.393
Bosnia and Herzegovina,BIH,2015,10.711
Botswana,BWA,2015,2.242
Brazil,BRA,2015,5.06
Brunei,BRN,2015,2.382
Bulgaria,BGR,2015,13.272
Burkina Faso,BFA,2015,1.358
Burundi,BDI,2015,1.504
Cambodia,KHM,2015,2.385
Cameroon,CMR,2015,1.919
Canada,CAN,2015,10.797
Cape Verde,CPV,2015,3.437
Caribbean,"",2015,6.334
Central African Republic,CAF,2015,2.251
Central America,"",2015,4.186
Central Asia,"",2015,3.21
Chad,TCD,2015,1.446
Channel Islands,OWID_CIS,2015,11.886
Chile,CHL,2015,6.938
China,CHN,2015,5.929
Colombia,COL,2015,4.312
Comoros,COM,2015,1.726
Congo,COG,2015,2.063
Costa Rica,CRI,2015,5.694
Cote d'Ivoire,CIV,2015,1.582
Croatia,HRV,2015,13.053
Cuba,CUB,2015,9.719
Curacao,CUW,2015,10.068
Cyprus,CYP,2015,8.563
Czechia,CZE,2015,11.58
Democratic Republic of Congo,COD,2015,1.745
Denmark,DNK,2015,12.325
Djibouti,DJI,2015,2.38
Dominican Republic,DOM,2015,4.419
Eastern Africa,"",2015,1.799
Eastern Asia,"",2015,7.046
Eastern Europe,"",2015,10.154
Ecuador,ECU,2015,4.458
Egypt,EGY,2015,2.891
El Salvador,SLV,2015,5.417
Equatorial Guinea,GNQ,2015,1.752
Eritrea,ERI,2015,2.171
Estonia,EST,2015,13.491
Ethiopia,ETH,2015,2.063
Europe,"",2015,12.387
Fiji,FJI,2015,3.284
Finland,FIN,2015,13.264
France,FRA,2015,13.079
French Guiana,GUF,2015,2.897
French Polynesia,PYF,2015,4.593
Gabon,GAB,2015,2.976
Gambia,GMB,2015,1.417
Georgia,GEO,2015,10.244
Germany,DEU,2015,15.957
Ghana,GHA,2015,1.948
Greece,GRC,2015,14.524
Grenada,GRD,2015,5.021
Guadeloupe (including Saint-Barthélemy and Saint-Martin),"",2015,11.187
Guam,GUM,2015,5.493
Guatemala,GTM,2015,3.016
Guinea,GIN,2015,1.733
Guinea-Bissau,GNB,2015,1.565
Guyana,GUY,2015,2.837
Haiti,HTI,2015,2.954
High-income countries,"",2015,11.791
Honduras,HND,2015,2.883
Hong Kong,HKG,2015,10.158
Hungary,HUN,2015,11.976
Iceland,ISL,2015,9.207
India,IND,2015,3.414
Indonesia,IDN,2015,3.053
Iran,IRN,2015,3.182
Iraq,IRQ,2015,1.957
Ireland,IRL,2015,8.678
Israel,ISR,2015,7.359
Italy,ITA,2015,16.24
Jamaica,JAM,2015,6.39
Japan,JPN,2015,18.493
Jordan,JOR,2015,2.361
Kazakhstan,KAZ,2015,4.625
Kenya,KEN,2015,1.528
Kiribati,KIR,2015,2.21
Kuwait,KWT,2015,1.114
Kyrgyzstan,KGZ,2015,2.882
Laos,LAO,2015,2.322
Latin America and the Caribbean,"",2015,4.966
Latvia,LVA,2015,14.136
Least developed countries,"",2015,2.129
Lebanon,LBN,2015,5.43
Lesotho,LSO,2015,2.647
Less developed regions,"",2015,3.949
"Less developed regions, excluding China","",2015,3.329
"Less developed regions, excluding least developed countries","",2015,4.286
Liberia,LBR,2015,1.756
Libya,LBY,2015,2.816
Lithuania,LTU,2015,13.778
Low-income countries,"",2015,1.983
Lower-middle-income countries,"",2015,3.2
Luxembourg,LUX,2015,9.842
Macao,MAC,2015,4.991
North Macedonia,MKD,2015,8.16
Madagascar,MDG,2015,1.686
Malawi,MWI,2015,1.783
Malaysia,MYS,2015,3.407
Maldives,MDV,2015,2.875
Mali,MLI,2015,1.486
Malta,MLT,2015,11.324
Martinique,MTQ,2015,12.543
Mauritania,MRT,2015,1.792
Mauritius,MUS,2015,5.884
Mayotte,MYT,2015,2.411
Melanesia,OWID_MNS,2015,2.369
Mexico,MEX,2015,4.321
Micronesia (country),FSM,2015,2.392
Micronesia (region),"",2015,3.445
Middle Africa,"",2015,1.715
Middle-income countries,"",2015,4.378
Moldova,MDA,2015,6.955
Mongolia,MNG,2015,2.421
Montenegro,MNE,2015,9.395
More developed regions,"",2015,12.234
Morocco,MAR,2015,4.209
Mozambique,MOZ,2015,1.87
Myanmar,MMR,2015,3.12
Namibia,NAM,2015,2.085
Nepal,NPL,2015,3.212
Netherlands,NLD,2015,11.881
New Caledonia,NCL,2015,6.489
New Zealand,NZL,2015,9.72
Nicaragua,NIC,2015,3.519
Niger,NER,2015,1.378
Nigeria,NGA,2015,1.447
North Korea,PRK,2015,6.139
Northern Africa,"",2015,3.223
Northern America,"",2015,9.839
Northern Europe,"",2015,12.446
Norway,NOR,2015,10.813
Oceania,"",2015,7.941
Oman,OMN,2015,1.53
Pakistan,PAK,2015,2.78
Palestine,PSE,2015,1.726
Panama,PAN,2015,5.03
Papua New Guinea,PNG,2015,2.142
Paraguay,PRY,2015,3.833
Peru,PER,2015,4.455
Philippines,PHL,2015,2.661
Poland,POL,2015,10.202
Polynesia,OWID_PYA,2015,4.11
Portugal,PRT,2015,14.924
Puerto Rico,PRI,2015,9.829
Qatar,QAT,2015,0.617
Reunion,REU,2015,6.841
Romania,ROU,2015,11.69
Russia,RUS,2015,9.393
Rwanda,RWA,2015,1.642
Saint Lucia,LCA,2015,6.405
Saint Vincent and the Grenadines,VCT,2015,4.832
Samoa,WSM,2015,3.564
Sao Tome and Principe,STP,2015,2.162
Saudi Arabia,SAU,2015,1.845
Senegal,SEN,2015,1.796
Serbia (including Kosovo),"",2015,10.365
Seychelles,SYC,2015,5.586
Sierra Leone,SLE,2015,1.285
Singapore,SGP,2015,7.049
Slovakia,SVK,2015,9.167
Slovenia,SVN,2015,12.93
Solomon Islands,SLB,2015,2.043
Somalia,SOM,2015,1.496
South Africa,ZAF,2015,3.053
South America,"",2015,5.148
South Korea,KOR,2015,8.622
South Sudan,SSD,2015,2.032
South-Central Asia,"",2015,3.301
South-Eastern Asia,"",2015,3.681
Southern Africa,"",2015,2.949
Southern Asia,"",2015,3.304
Southern Europe,"",2015,14.375
Spain,ESP,2015,13.799
Sri Lanka,LKA,2015,5.331
Sub-Saharan Africa,"",2015,1.766
Sudan,SDN,2015,2.034
Suriname,SUR,2015,4.229
Eswatini,SWZ,2015,1.845
Sweden,SWE,2015,13.433
Switzerland,CHE,2015,12.644
Syria,SYR,2015,2.577
Taiwan,TWN,2015,8.353
Tajikistan,TJK,2015,2.155
Tanzania,TZA,2015,1.874
Thailand,THA,2015,6.89
Timor,TLS,2015,1.897
Togo,TGO,2015,1.525
Tonga,TON,2015,4.032
Trinidad and Tobago,TTO,2015,5.819
Tunisia,TUN,2015,5.075
Turkey,TUR,2015,5.061
Turkmenistan,TKM,2015,2.541
Uganda,UGA,2015,1.308
Ukraine,UKR,2015,11.133
United Arab Emirates,ARE,2015,0.526
United Kingdom,GBR,2015,12.527
United States,USA,2015,9.732
United States Virgin Islands,VIR,2015,10.799
Upper-middle-income countries,"",2015,5.729
Uruguay,URY,2015,10.361
Uzbekistan,UZB,2015,2.873
Vanuatu,VUT,2015,2.62
Venezuela,VEN,2015,3.915
Vietnam,VNM,2015,4.718
Western Africa,"",2015,1.538
Western Asia,"",2015,3.353
Western Europe,"",2015,14.187
Western Sahara,ESH,2015,1.38
World,OWID_WRL,2015,5.355
Yemen,YEM,2015,1.583
Zambia,ZMB,2015,1.542
Zimbabwe,ZWE,2015,1.882
