location,iso_code,year,human_development_index
Afghanistan,AFG,2017,0.498
Albania,ALB,2017,0.785
Algeria,DZA,2017,0.754
Andorra,AND,2017,0.858
Angola,AGO,2017,0.581
Antigua and Barbuda,ATG,2017,0.78
Argentina,ARG,2017,0.825
Armenia,ARM,2017,0.755
Australia,AUS,2017,0.939
Austria,AUT,2017,0.908
Azerbaijan,AZE,2017,0.757
Bahamas,BHS,2017,0.807
Bahrain,BHR,2017,0.846
Bangladesh,BGD,2017,0.608
Barbados,BRB,2017,0.8
Belarus,BLR,2017,0.808
Belgium,BEL,2017,0.916
Belize,BLZ,2017,0.708
Benin,BEN,2017,0.515
Bhutan,BTN,2017,0.612
Bolivia,BOL,2017,0.693
Bosnia and Herzegovina,BIH,2017,0.768
Botswana,BWA,2017,0.717
Brazil,BRA,2017,0.759
Brunei,BRN,2017,0.853
Bulgaria,BGR,2017,0.813
Burkina Faso,BFA,2017,0.423
Burundi,BDI,2017,0.417
Cambodia,KHM,2017,0.582
Cameroon,CMR,2017,0.556
Canada,CAN,2017,0.926
Cape Verde,CPV,2017,0.654
Central African Republic,CAF,2017,0.367
Chad,TCD,2017,0.404
Chile,CHL,2017,0.843
China,CHN,2017,0.752
Colombia,COL,2017,0.747
Comoros,COM,2017,0.503
Congo,COG,2017,0.606
Costa Rica,CRI,2017,0.794
Cote d'Ivoire,CIV,2017,0.492
Croatia,HRV,2017,0.831
Cuba,CUB,2017,0.777
Cyprus,CYP,2017,0.869
Czechia,CZE,2017,0.888
Democratic Republic of Congo,COD,2017,0.457
Denmark,DNK,2017,0.929
Djibouti,DJI,2017,0.476
Dominica,DMA,2017,0.715
Dominican Republic,DOM,2017,0.736
Ecuador,ECU,2017,0.752
Egypt,EGY,2017,0.696
El Salvador,SLV,2017,0.674
Equatorial Guinea,GNQ,2017,0.591
Eritrea,ERI,2017,0.44
Estonia,EST,2017,0.871
Ethiopia,ETH,2017,0.463
Fiji,FJI,2017,0.741
Finland,FIN,2017,0.92
France,FRA,2017,0.901
Gabon,GAB,2017,0.702
Gambia,GMB,2017,0.46
Georgia,GEO,2017,0.78
Germany,DEU,2017,0.936
Ghana,GHA,2017,0.592
Greece,GRC,2017,0.87
Grenada,GRD,2017,0.772
Guatemala,GTM,2017,0.65
Guinea,GIN,2017,0.459
Guinea-Bissau,GNB,2017,0.455
Guyana,GUY,2017,0.654
Haiti,HTI,2017,0.498
Honduras,HND,2017,0.617
Hong Kong,HKG,2017,0.933
Hungary,HUN,2017,0.838
Iceland,ISL,2017,0.935
India,IND,2017,0.64
Indonesia,IDN,2017,0.694
Iran,IRN,2017,0.798
Iraq,IRQ,2017,0.685
Ireland,IRL,2017,0.938
Israel,ISR,2017,0.903
Italy,ITA,2017,0.88
Jamaica,JAM,2017,0.732
Japan,JPN,2017,0.909
Jordan,JOR,2017,0.735
Kazakhstan,KAZ,2017,0.8
Kenya,KEN,2017,0.59
Kiribati,KIR,2017,0.612
Korea,"",2017,0.903
Kuwait,KWT,2017,0.803
Kyrgyzstan,KGZ,2017,0.672
Laos,LAO,2017,0.601
Latvia,LVA,2017,0.847
Lebanon,LBN,2017,0.757
Lesotho,LSO,2017,0.52
Liberia,LBR,2017,0.435
Libya,LBY,2017,0.706
Liechtenstein,LIE,2017,0.916
Lithuania,LTU,2017,0.858
Luxembourg,LUX,2017,0.904
North Macedonia,MKD,2017,0.757
Madagascar,MDG,2017,0.519
Malawi,MWI,2017,0.477
Malaysia,MYS,2017,0.802
Maldives,MDV,2017,0.717
Mali,MLI,2017,0.427
Malta,MLT,2017,0.878
Marshall Islands,MHL,2017,0.708
Mauritania,MRT,2017,0.52
Mauritius,MUS,2017,0.79
Mexico,MEX,2017,0.774
Micronesia (country),FSM,2017,0.627
Moldova,MDA,2017,0.7
Mongolia,MNG,2017,0.741
Montenegro,MNE,2017,0.814
Morocco,MAR,2017,0.667
Mozambique,MOZ,2017,0.437
Myanmar,MMR,2017,0.578
Namibia,NAM,2017,0.647
Nepal,NPL,2017,0.574
Netherlands,NLD,2017,0.931
New Zealand,NZL,2017,0.917
Nicaragua,NIC,2017,0.658
Niger,NER,2017,0.354
Nigeria,NGA,2017,0.532
Norway,NOR,2017,0.953
Oman,OMN,2017,0.821
Pakistan,PAK,2017,0.562
Palau,PLW,2017,0.798
Palestine,PSE,2017,0.686
Panama,PAN,2017,0.789
Papua New Guinea,PNG,2017,0.544
Paraguay,PRY,2017,0.702
Peru,PER,2017,0.75
Philippines,PHL,2017,0.699
Poland,POL,2017,0.865
Portugal,PRT,2017,0.847
Qatar,QAT,2017,0.856
Romania,ROU,2017,0.811
Russia,RUS,2017,0.816
Rwanda,RWA,2017,0.524
Saint Kitts and Nevis,KNA,2017,0.778
Saint Lucia,LCA,2017,0.747
Saint Vincent and the Grenadines,VCT,2017,0.723
Samoa,WSM,2017,0.713
Sao Tome and Principe,STP,2017,0.589
Saudi Arabia,SAU,2017,0.853
Senegal,SEN,2017,0.505
Serbia,SRB,2017,0.787
Seychelles,SYC,2017,0.797
Sierra Leone,SLE,2017,0.419
Singapore,SGP,2017,0.932
Slovakia,SVK,2017,0.855
Slovenia,SVN,2017,0.896
Solomon Islands,SLB,2017,0.546
South Africa,ZAF,2017,0.699
South Korea,KOR,2017,0.903
South Sudan,SSD,2017,0.388
Spain,ESP,2017,0.891
Sri Lanka,LKA,2017,0.77
Sudan,SDN,2017,0.502
Suriname,SUR,2017,0.72
Eswatini,SWZ,2017,0.588
Sweden,SWE,2017,0.933
Switzerland,CHE,2017,0.944
