location,iso_code,year,median_age
Afghanistan,AFG,2020,18.6
Africa,"",2020,19.8
Albania,ALB,2020,38
Algeria,DZA,2020,29.1
Angola,AGO,2020,16.8
Antigua and Barbuda,ATG,2020,32.1
Argentina,ARG,2020,31.9
Armenia,ARM,2020,35.7
Aruba,ABW,2020,41.2
Asia,"",2020,32.1
Australia,AUS,2020,37.9
Australia/New Zealand,"",2020,37.9
Austria,AUT,2020,44.4
Azerbaijan,AZE,2020,32.4
Bahamas,BHS,2020,34.3
Bahrain,BHR,2020,32.4
Bangladesh,BGD,2020,27.5
Barbados,BRB,2020,39.8
Belarus,BLR,2020,40.3
Belgium,BEL,2020,41.8
Belize,BLZ,2020,25
Benin,BEN,2020,18.8
Bhutan,BTN,2020,28.6
Bolivia,BOL,2020,25.4
Bosnia and Herzegovina,BIH,2020,42.5
Botswana,BWA,2020,25.8
Brazil,BRA,2020,33.5
Brunei,BRN,2020,32.4
Bulgaria,BGR,2020,44.7
Burkina Faso,BFA,2020,17.6
Burundi,BDI,2020,17.5
Cambodia,KHM,2020,25.6
Cameroon,CMR,2020,18.8
Canada,CAN,2020,41.4
Cape Verde,CPV,2020,25.7
Caribbean,"",2020,31.9
Central African Republic,CAF,2020,18.3
Central America,"",2020,28.3
Central Asia,"",2020,27.9
Chad,TCD,2020,16.7
Channel Islands,OWID_CIS,2020,44
Chile,CHL,2020,35.4
China,CHN,2020,38.7
Colombia,COL,2020,32.2
Comoros,COM,2020,20.4
Congo,COG,2020,19
Costa Rica,CRI,2020,33.6
Cote d'Ivoire,CIV,2020,18.7
Croatia,HRV,2020,44
Cuba,CUB,2020,43.1
Curacao,CUW,2020,41.7
Cyprus,CYP,2020,37.3
Czechia,CZE,2020,43.3
Democratic Republic of Congo,COD,2020,17
Denmark,DNK,2020,42.3
Djibouti,DJI,2020,25.4
Dominican Republic,DOM,2020,27.6
Eastern Africa,"",2020,18.7
Eastern Asia,"",2020,39.6
Eastern Europe,"",2020,40.8
Ecuador,ECU,2020,28.1
Egypt,EGY,2020,25.3
El Salvador,SLV,2020,27.6
Equatorial Guinea,GNQ,2020,22.4
Eritrea,ERI,2020,19.3
Estonia,EST,2020,42.7
Ethiopia,ETH,2020,19.8
Europe,"",2020,42.7
Fiji,FJI,2020,28.6
Finland,FIN,2020,42.8
France,FRA,2020,42
French Guiana,GUF,2020,25.3
French Polynesia,PYF,2020,32.7
Gabon,GAB,2020,23.1
Gambia,GMB,2020,17.5
Georgia,GEO,2020,38.7
Germany,DEU,2020,46.6
Ghana,GHA,2020,21.1
Greece,GRC,2020,45.3
Grenada,GRD,2020,29.4
Guadeloupe,GLP,2020,43.4
Guam,GUM,2020,31.4
Guatemala,GTM,2020,22.9
